TrialType,CertainAmt,TopAmt,BottomAmt,Outcome,RiskSide,ITI,Rating,trialControl.thisRepN,trialControl.thisTrialN,trialControl.thisN,trialControl.thisIndex,revealLoop.thisRepN,revealLoop.thisTrialN,revealLoop.thisN,revealLoop.thisIndex,timeoutLoop.thisRepN,timeoutLoop.thisTrialN,timeoutLoop.thisN,timeoutLoop.thisIndex,HowHappyCheck.thisRepN,HowHappyCheck.thisTrialN,HowHappyCheck.thisN,HowHappyCheck.thisIndex,welcomeText1.started,space_to_continue.started,welcomeText2.started,space_to_continue_2.started,Win.started,Keys.started,Mouse.started,Keys.keys,Keys.rt,Mouse.x,Mouse.y,Mouse.leftButton,Mouse.midButton,Mouse.rightButton,Win_2.started,WinMsg.started,Win_3.started,WinMsg_2.started,Cross.started,Cross.stopped,HowHappySlider.started,UnHappy.started,Happy.started,SliderKeyboard.started,SpacetoExit.started,HowHappySlider.response,HowHappySlider.rt,SliderKeyboard.keys,SliderKeyboard.rt,Win_2.stopped,WinMsg.stopped,Win_3.stopped,WinMsg_2.stopped,exitText.started,exitText.stopped,participant,session,date,expName,psychopyVersion,frameRate,
mix,0.0,-1.1,0.33,top,right,1.04,0,0,11,11,22,,,,,,,,,,,,,,,,,93.50286254199455,93.50286254199455,0.008321583009092137,right,0.4932984579936601,0.3287037037037037,-0.2025462962962963,0,0,0,94.01985679200152,94.01985679200152,96.03551733400673,96.03551733400673,100.4778297500161,101.54010229199775,98.02555666700937,98.02555666700937,98.02555666700937,100.08221883399528,100.08221883399528,8.458333333333334,2.0318649169930723,space,0.3798537499969825,,,,,,,testtttt,001,2023-03-30_16h27.56.617,SWB_debug,2022.2.4,None,
gain,0.6,0.0,2.52,bottom,right,1.03,0,0,12,12,98,,,,,,,,,,,,,,,,,101.54010229199775,101.54010229199775,0.012363666988676414,left,0.7979911250004079,0.3287037037037037,-0.2025462962962963,0,0,0,102.37179287499748,102.37179287499748,104.37656887501362,104.37656887501362,106.38212520899833,107.41967670901795,,,,,,,,,,,,,,,,testtttt,001,2023-03-30_16h27.56.617,SWB_debug,2022.2.4,None,
loss,-0.6,-2.52,0.0,bottom,right,1.73,1,0,13,13,148,,,,,,,,,,,,,,,,,107.41967670901795,107.41967670901795,0.00915066699963063,right,0.3806730829819571,0.3287037037037037,-0.2025462962962963,0,0,0,107.83653737499844,107.83653737499844,109.8509049169952,109.8509049169952,111.84890866701608,113.58527683399734,,,,,,,,,,,,,,,,testtttt,001,2023-03-30_16h27.56.617,SWB_debug,2022.2.4,None,
loss,-0.2,-0.72,0.0,bottom,right,1.49,0,0,14,14,107,,,,,,,,,,,,,,,,,113.58527683399734,113.58527683399734,0.0069492080074269325,right,0.4929990000091493,0.3287037037037037,-0.2025462962962963,0,0,0,114.10274475000915,114.10274475000915,116.11462370899972,116.11462370899972,120.24419820899493,121.73515449999832,118.11540420900565,118.11540420900565,118.11540420900565,119.71553370900801,119.71553370900801,8.458333333333334,1.5839894590026233,space,0.5146765840181615,,,,,,,testtttt,001,2023-03-30_16h27.56.617,SWB_debug,2022.2.4,None,
loss,-0.6,-1.33,0.0,top,right,1.69,0,0,15,15,143,,,,,,,,,,,,,,,,,121.73515449999832,121.73515449999832,0.006934458011528477,right,0.49077262499486096,0.3287037037037037,-0.2025462962962963,0,0,0,122.25240791699616,122.25240791699616,124.26964495901484,124.26964495901484,126.26549108399195,127.97384824999608,,,,,,,,,,,,,,,,testtttt,001,2023-03-30_16h27.56.617,SWB_debug,2022.2.4,None,
mix,0.0,-0.8,0.8,bottom,left,1.72,0,0,16,16,20,,,,,,,,,,,,,,,,,127.97384824999608,127.97384824999608,0.011954125016927719,left,0.5974824159929994,0.3287037037037037,-0.2025462962962963,0,0,0,128.6028369590058,128.6028369590058,130.61103045899654,130.61103045899654,132.6040352919954,134.32761595901684,,,,,,,,,,,,,,,,testtttt,001,2023-03-30_16h27.56.617,SWB_debug,2022.2.4,None,
mix,0.0,-0.5,0.5,top,left,1.03,0,0,17,17,13,,,,,,,,,,,,,,,,,134.32761595901684,134.32761595901684,0.009664458018960431,right,0.3889717080164701,0.3287037037037037,-0.2025462962962963,0,0,0,134.74842474999605,134.74842474999605,136.77380254201125,136.77380254201125,141.10105829199892,142.13609899999574,138.75699541700305,138.75699541700305,138.75699541700305,140.66258933400968,140.66258933400968,8.458333333333334,1.8989777079841588,space,0.4242008330184035,,,,,,,testtttt,001,2023-03-30_16h27.56.617,SWB_debug,2022.2.4,None,
gain,0.3,0.0,0.74,bottom,right,1.63,0,0,18,18,64,,,,,,,,,,,,,,,,,142.13609899999574,142.13609899999574,0.005099457979667932,right,0.5244657919974998,0.3287037037037037,-0.2025462962962963,0,0,0,142.69623554201098,142.69623554201098,144.7135210839915,144.7135210839915,146.70710608400987,148.34789579201606,,,,,,,,,,,,,,,,testtttt,001,2023-03-30_16h27.56.617,SWB_debug,2022.2.4,None,
mix,0.0,-0.3,0.25,top,left,1.67,1,0,19,19,5,,,,,,,,,,,,,,,,,148.34789579201606,148.34789579201606,0.011791875003837049,right,0.5754040829779115,0.3287037037037037,-0.2025462962962963,0,0,0,148.9483932919975,148.9483932919975,150.9481637919962,150.9481637919962,152.94869254200603,154.62308908399427,,,,,,,,,,,,,,,,testtttt,001,2023-03-30_16h27.56.617,SWB_debug,2022.2.4,None,
gain,0.6,0.0,1.09,bottom,right,1.43,0,0,20,20,91,,,,,,,,,,,,,,,,,154.62308908399427,154.62308908399427,0.009116792003624141,right,0.5257479170104489,0.3287037037037037,-0.2025462962962963,0,0,0,155.1712941250007,155.1712941250007,157.1885292500083,157.1885292500083,161.56094850000227,163.007288666995,159.17705870899954,159.17705870899954,159.17705870899954,161.2819798339915,161.2819798339915,8.458333333333334,2.0756960829894524,space,0.2627369579859078,,,,,,,testtttt,001,2023-03-30_16h27.56.617,SWB_debug,2022.2.4,None,
loss,-0.4,-0.67,0.0,bottom,left,1.12,1,0,21,21,120,,,,,,,,,,,,,,,,,163.007288666995,163.007288666995,0.012030041019897908,left,0.37373641700833105,0.3287037037037037,-0.2025462962962963,0,0,0,163.41758666699752,163.41758666699752,165.43421762500657,165.43421762500657,167.42370604199823,168.56096854200587,,,,,,,,,,,,,,,,testtttt,001,2023-03-30_16h27.56.617,SWB_debug,2022.2.4,None,
gain,0.6,0.0,1.33,top,right,1.84,0,0,22,22,93,,,,,,,,,,,,,,,,,168.56096854200587,168.56096854200587,0.007135040999855846,right,0.41199341698666103,0.3287037037037037,-0.2025462962962963,0,0,0,168.99570312499418,168.99570312499418,171.00914137499058,171.00914137499058,173.00698516701232,174.86278250001487,,,,,,,,,,,,,,,,testtttt,001,2023-03-30_16h27.56.617,SWB_debug,2022.2.4,None,
loss,-0.2,-0.56,0.0,top,left,1.68,0,0,23,23,105,,,,,,,,,,,,,,,,,174.86278250001487,174.86278250001487,0.00864241601084359,left,0.3897832920192741,0.3287037037037037,-0.2025462962962963,0,0,0,175.2791043340112,175.2791043340112,177.29552725001122,177.29552725001122,181.4017451670079,183.095973959018,179.28489120901213,179.28489120901213,179.28489120901213,181.12364125001477,181.12364125001477,8.458333333333334,1.8152899999986403,space,0.2662219589983579,,,,,,,testtttt,001,2023-03-30_16h27.56.617,SWB_debug,2022.2.4,None,
loss,-0.6,-1.9,0.0,bottom,left,1.39,0,0,24,24,146,,,,,,,,,,,,,,,,,183.095973959018,183.095973959018,0.010224958008620888,right,2.014409124996746,0.3287037037037037,-0.2025462962962963,0,0,0,185.14758625000832,185.14758625000832,187.16083983401768,187.16083983401768,189.15688324999064,190.5631892090023,,,,,,,,,,,,,,,,testtttt,001,2023-03-30_16h27.56.617,SWB_debug,2022.2.4,None,
loss,-0.2,-0.84,0.0,bottom,right,1.69,0,0,25,25,108,,,,,,,,,,,,,,,,,190.5631892090023,190.5631892090023,0.009936042013578117,right,0.29444641698501073,0.3287037037037037,-0.2025462962962963,0,0,0,190.89310808401206,190.89310808401206,192.90721958401264,192.90721958401264,194.90691104199504,196.61000870901626,,,,,,,,,,,,,,,,testtttt,001,2023-03-30_16h27.56.617,SWB_debug,2022.2.4,None,
