TrialType,CertainAmt,TopAmt,BottomAmt,Outcome,RiskSide,ITI,Rating,trialControl.thisRepN,trialControl.thisTrialN,trialControl.thisN,trialControl.thisIndex,revealLoop.thisRepN,revealLoop.thisTrialN,revealLoop.thisN,revealLoop.thisIndex,timeoutLoop.thisRepN,timeoutLoop.thisTrialN,timeoutLoop.thisN,timeoutLoop.thisIndex,HowHappyCheck.thisRepN,HowHappyCheck.thisTrialN,HowHappyCheck.thisN,HowHappyCheck.thisIndex,welcomeText.started,Win.started,Mouse.started,Keys.started,Mouse.x,Mouse.y,Mouse.leftButton,Mouse.midButton,Mouse.rightButton,Keys.keys,Keys.rt,Win_2.started,WinMsg.started,Win_3.started,WinMsg_2.started,Cross.started,Cross.stopped,HowHappySlider.started,UnHappy.started,Happy.started,SliderKeyboard.started,SpacetoExit.started,HowHappySlider.response,HowHappySlider.rt,SliderKeyboard.keys,SliderKeyboard.rt,timeoutText.started,participant,session,date,expName,psychopyVersion,frameRate,
mix,0.0,-1.1,0.57,top,left,1.64,1,0,0,0,24,,,,,,,,,,,,,23.083778000000166,28.194329099998868,0.05526370000006864,28.194329099998868,-0.125,0.12152777777777778,0,0,0,left,0.9049881999999343,29.178886800000328,29.178886800000328,31.28039179999905,31.28039179999905,33.14718079999875,34.846314899998106,,,,,,,,,,,,001,2022-12-15_14h40.53.816,SWB_debug,2022.2.4,60.03204510639267,
loss,-0.2,-0.34,0.0,top,left,2.0,0,0,1,1,100,,,,,,,,,,,,,,34.846314899998106,0.04020850000233622,34.846314899998106,-0.125,0.12152777777777778,0,0,0,left,1.1177031999977771,36.04883139999947,36.04883139999947,38.10197859999971,38.10197859999971,40.01603619999878,42.066288999998505,,,,,,,,,,,,001,2022-12-15_14h40.53.816,SWB_debug,2022.2.4,60.03204510639267,
loss,-0.6,-1.09,0.0,bottom,right,1.93,1,0,2,2,141,,,,,,,,,,,,,,42.066288999998505,0.022896800001035444,42.066288999998505,-0.125,0.12152777777777778,0,0,0,right,0.5773980999983905,42.73167219999959,42.73167219999959,44.76496589999806,44.76496589999806,50.43701119999969,52.39033769999878,46.80223669999759,46.80223669999759,46.80223669999759,49.48710369999753,49.48710369999753,4.770833333333334,2.676947600000858,space,0.8845212000014726,,,001,2022-12-15_14h40.53.816,SWB_debug,2022.2.4,60.03204510639267,
loss,-0.4,-0.67,0.0,bottom,left,1.12,1,0,3,3,120,,,,,,,,,,,,,,52.39033769999878,0.015423400000145193,52.39033769999878,-0.08101851851851852,-0.2037037037037037,0,0,0,right,0.6125933000002988,53.07039569999688,53.07039569999688,55.090537099997164,55.090537099997164,57.04078979999758,58.2300264000005,,,,,,,,,,,,001,2022-12-15_14h40.53.816,SWB_debug,2022.2.4,60.03204510639267,
loss,-0.5,-1.24,0.0,top,left,1.88,0,0,4,4,134,,,,,,,,,,,,,,58.2300264000005,0.031156799999735085,58.2300264000005,0.5671296296296297,-0.1875,0,0,0,None,,,,,,74.21267159999843,76.1120228999971,,,,,,,,,,66.2120662999987,,001,2022-12-15_14h40.53.816,SWB_debug,2022.2.4,60.03204510639267,
mix,0.0,-0.8,0.53,top,right,1.94,0,0,5,5,18,,,,,,,,,,,,,,76.1120228999971,0.017592300002434058,76.1120228999971,0.5671296296296297,-0.1875,0,0,0,None,,,,,,452.56956199999695,454.558578199998,92.18374179999955,92.18374179999955,92.18374179999955,452.1526679999988,452.1526679999988,3.9270833333333335,359.8989326999981,space,0.37069010000050184,84.12974719999693,,001,2022-12-15_14h40.53.816,SWB_debug,2022.2.4,60.03204510639267,
,,,,,,,,,,,,,,,,,,,,,,,,,454.558578199998,0.020182099997327896,454.558578199998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
