TrialType,CertainAmt,TopAmt,BottomAmt,Outcome,RiskSide,ITI,Rating,trialControl.thisRepN,trialControl.thisTrialN,trialControl.thisN,trialControl.thisIndex,revealLoop.thisRepN,revealLoop.thisTrialN,revealLoop.thisN,revealLoop.thisIndex,timeoutLoop.thisRepN,timeoutLoop.thisTrialN,timeoutLoop.thisN,timeoutLoop.thisIndex,HowHappyCheck.thisRepN,HowHappyCheck.thisTrialN,HowHappyCheck.thisN,HowHappyCheck.thisIndex,Win.started,Mouse.started,Keys.started,Mouse.x,Mouse.y,Mouse.leftButton,Mouse.midButton,Mouse.rightButton,Mouse.clicked_name,Keys.keys,Win_2.started,WinMsg.started,Win_3.started,WinMsg_2.started,Cross.started,Cross.stopped,HowHappySlider.started,UnHappy.started,Happy.started,SliderKeyboard.started,SpacetoExit.started,HowHappySlider.response,HowHappySlider.rt,SliderKeyboard.keys,SliderKeyboard.rt,participant,session,date,expName,psychopyVersion,frameRate,
loss,-0.2,-1.0,0.0,top,left,1.67,0,0,0,0,109,,,,,,,,,,,,,13.228801100049168,0.033029799815267324,13.228801100049168,-0.06828703703703703,-0.020833333333333332,1,0,0,LeftHalf,None,14.372338900109753,14.372338900109753,16.406190200010315,16.406190200010315,18.373994499910623,20.07382950000465,,,,,,,,,,,001,2022-12-12_15h10.49.329,SWB_debug,2022.2.4,59.963434340420385,
loss,-0.6,-1.2,0.0,top,right,1.98,0,0,1,1,142,,,,,,,,,,,,,20.07382950000465,0.009021899895742536,20.07382950000465,0.08680555555555555,0.004629629629629629,1,0,0,RightHalf,None,21.191282799933106,21.191282799933106,23.20859399996698,23.20859399996698,25.19271650002338,27.193427900085226,,,,,,,,,,,001,2022-12-12_15h10.49.329,SWB_debug,2022.2.4,59.963434340420385,
gain,0.4,0.0,1.44,bottom,right,1.01,0,0,2,2,77,,,,,,,,,,,,,27.193427900085226,0.01531819999217987,27.193427900085226,0.16319444444444445,0.01273148148148148,1,0,0,RightHalf,None,28.377682599937543,28.377682599937543,30.395114100072533,30.395114100072533,41.74940859992057,42.78307850006968,32.42739579989575,32.42739579989575,32.42739579989575,33.72828499996103,33.72828499996103,2.854166666666667,5.132529100170359,space,7.998778000008315,,001,2022-12-12_15h10.49.329,SWB_debug,2022.2.4,59.963434340420385,
,,,,,,,,,,,,,,,,,,,,,,,,42.78307850006968,0.011073999805375934,42.78307850006968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
