TrialType,CertainAmt,TopAmt,BottomAmt,Outcome,RiskSide,ITI,Rating,trialControl.thisRepN,trialControl.thisTrialN,trialControl.thisN,trialControl.thisIndex,revealLoop.thisRepN,revealLoop.thisTrialN,revealLoop.thisN,revealLoop.thisIndex,timeoutLoop.thisRepN,timeoutLoop.thisTrialN,timeoutLoop.thisN,timeoutLoop.thisIndex,HowHappyCheck.thisRepN,HowHappyCheck.thisTrialN,HowHappyCheck.thisN,HowHappyCheck.thisIndex,welcomeText.started,Win.started,Mouse.started,Keys.started,Mouse.x,Mouse.y,Mouse.leftButton,Mouse.midButton,Mouse.rightButton,Mouse.clicked_name,Keys.keys,Win_2.started,WinMsg.started,Win_3.started,WinMsg_2.started,Cross.started,Cross.stopped,HowHappySlider.started,UnHappy.started,Happy.started,SliderKeyboard.started,SpacetoExit.started,HowHappySlider.response,HowHappySlider.rt,SliderKeyboard.keys,SliderKeyboard.rt,participant,session,date,expName,psychopyVersion,frameRate,
loss,-0.4,-1.26,0.0,top,right,1.05,0,0,0,0,126,,,,,,,,,,,,,33.96452880000288,39.070985199999996,0.07164589999956661,39.070985199999996,-0.15625,0.14351851851851852,1,0,0,LeftHalf,None,42.606548400002794,42.606548400002794,44.62345760000244,44.62345760000244,46.53879489999963,47.670928800002,,,,,,,,,,,001,2022-12-15_15h22.37.463,SWB_debug,2022.2.4,None,
loss,-0.5,-0.91,0.0,top,left,1.0,0,0,1,1,131,,,,,,,,,,,,,,47.670928800002,0.0534049000016239,47.670928800002,-0.26157407407407407,0.08333333333333333,1,0,0,LeftHalf,None,48.74190799999997,48.74190799999997,50.82419370000207,50.82419370000207,52.730858500002796,53.80776080000214,,,,,,,,,,,001,2022-12-15_15h22.37.463,SWB_debug,2022.2.4,None,
gain,0.5,0.0,1.58,top,left,1.44,0,0,2,2,86,,,,,,,,,,,,,,53.80776080000214,0.05200449999756529,53.80776080000214,0.16203703703703703,0.09027777777777778,1,0,0,RightHalf,None,54.26038410000183,54.26038410000183,56.2438112000018,56.2438112000018,91.19005310000284,92.69018880000294,58.295297600001504,58.295297600001504,58.295297600001504,90.93515359999947,90.93515359999947,6.322916666666667,32.71122950000063,space,0.2131733999995049,,001,2022-12-15_15h22.37.463,SWB_debug,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,92.69018880000294,0.03633759999866015,92.69018880000294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
