TrialType,CertainAmt,TopAmt,BottomAmt,Outcome,RiskSide,ITI,Rating,trialControl.thisRepN,trialControl.thisTrialN,trialControl.thisN,trialControl.thisIndex,revealLoop.thisRepN,revealLoop.thisTrialN,revealLoop.thisN,revealLoop.thisIndex,timeoutLoop.thisRepN,timeoutLoop.thisTrialN,timeoutLoop.thisN,timeoutLoop.thisIndex,HowHappyCheck.thisRepN,HowHappyCheck.thisTrialN,HowHappyCheck.thisN,HowHappyCheck.thisIndex,Win.started,Mouse.started,Keys.started,Mouse.x,Mouse.y,Mouse.leftButton,Mouse.midButton,Mouse.rightButton,Keys.keys,Keys.rt,Win_2.started,WinMsg.started,Win_3.started,WinMsg_2.started,Cross.started,Cross.stopped,HowHappySlider.started,UnHappy.started,Happy.started,SliderKeyboard.started,SpacetoExit.started,HowHappySlider.response,HowHappySlider.rt,SliderKeyboard.keys,SliderKeyboard.rt,Mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
loss,-0.2,-0.36,0.0,top,right,1.04,0,0,0,0,101,,,,,,,,,,,,,14.300346399890259,0.03284560004249215,14.300346399890259,-0.8888888888888888,-0.5,0,0,0,right,0.648096099961549,14.996801299974322,14.996801299974322,17.03062339988537,17.03062339988537,18.998038299847394,20.065041899913922,,,,,,,,,,,,001,2022-12-12_15h18.25.558,SWB_debug,2022.2.4,60.08907608108496,
gain,0.4,0.0,0.73,bottom,left,1.76,0,0,1,1,71,,,,,,,,,,,,,20.065041899913922,0.01145699992775917,20.065041899913922,-0.8888888888888888,-0.5,0,0,0,left,0.3639481000136584,20.465594899840653,20.465594899840653,22.483827200019732,22.483827200019732,24.4668252998963,26.250806799856946,,,,,,,,,,,,001,2022-12-12_15h18.25.558,SWB_debug,2022.2.4,60.08907608108496,
gain,0.3,0.0,0.84,top,left,1.82,0,0,2,2,65,,,,,,,,,,,,,26.250806799856946,0.00848339986987412,26.250806799856946,-0.8888888888888888,-0.5,0,0,0,right,0.3696546000428498,26.66773679992184,26.66773679992184,28.68517359998077,28.68517359998077,38.75555630004965,40.60614999989048,30.717938999878243,30.717938999878243,30.717938999878243,33.61971120000817,33.61971120000817,3.6458333333333335,2.905417100060731,space,5.111140000168234,,,001,2022-12-12_15h18.25.558,SWB_debug,2022.2.4,60.08907608108496,
gain,0.6,0.0,2.52,bottom,right,1.03,0,0,3,3,98,,,,,,,,,,,,,40.60614999989048,0.008578799897804856,40.60614999989048,0.2013888888888889,-0.22337962962962962,1,0,0,None,,41.43976789992303,41.43976789992303,43.45756600005552,43.45756600005552,45.441616900032386,46.491704900050536,,,,,,,,,,RightHalf,,001,2022-12-12_15h18.25.558,SWB_debug,2022.2.4,60.08907608108496,
gain,0.2,0.0,0.44,top,right,1.06,0,0,4,4,53,,,,,,,,,,,,,46.491704900050536,0.00773239997215569,46.491704900050536,0.22800925925925927,-0.08333333333333333,1,0,0,None,,47.875702699879184,47.875702699879184,49.8930354998447,49.8930354998447,51.87725709984079,52.96083260001615,,,,,,,,,,RightHalf,,001,2022-12-12_15h18.25.558,SWB_debug,2022.2.4,60.08907608108496,
mix,0.0,-1.5,0.78,top,left,1.22,0,0,5,5,30,,,,,,,,,,,,,52.96083260001615,0.0073090000078082085,52.96083260001615,0.125,-0.1597222222222222,1,0,0,None,,54.528097899863496,54.528097899863496,56.54587909998372,56.54587909998372,97.01129659987055,98.26154870004393,58.545314099872485,58.545314099872485,58.545314099872485,74.78547389991581,74.78547389991581,6.197916666666666,23.23934349999763,space,22.177754800301045,RightHalf,,001,2022-12-12_15h18.25.558,SWB_debug,2022.2.4,60.08907608108496,
,,,,,,,,,,,,,,,,,,,,,,,,98.26154870004393,0.006763699930161238,98.26154870004393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
