TrialType,CertainAmt,TopAmt,BottomAmt,Outcome,RiskSide,ITI,Rating,trialControl.thisRepN,trialControl.thisTrialN,trialControl.thisN,trialControl.thisIndex,revealLoop.thisRepN,revealLoop.thisTrialN,revealLoop.thisN,revealLoop.thisIndex,timeoutLoop.thisRepN,timeoutLoop.thisTrialN,timeoutLoop.thisN,timeoutLoop.thisIndex,HowHappyCheck.thisRepN,HowHappyCheck.thisTrialN,HowHappyCheck.thisN,HowHappyCheck.thisIndex,Win.started,Mouse.started,Keys.started,Mouse.x,Mouse.y,Mouse.leftButton,Mouse.midButton,Mouse.rightButton,Keys.keys,Keys.rt,Win_2.started,WinMsg.started,Win_3.started,WinMsg_2.started,Cross.started,Cross.stopped,timeoutText.started,HowHappySlider.started,UnHappy.started,Happy.started,SpacetoExit.started,SliderKeyboard.started,HowHappySlider.response,HowHappySlider.rt,SliderKeyboard.keys,SliderKeyboard.rt,timeoutText.stopped,Mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
loss,-0.6,-1.2,0.0,top,right,1.98,0,0,0,0,142,,,,,,,,,,,,,12.524100200040266,0.033774000126868486,12.524100200040266,-0.8888888888888888,-0.5,0,0,0,right,0.6190196999814361,13.187121799914166,13.187121799914166,15.221325000049546,15.221325000049546,17.18897909997031,19.18985059997067,,,,,,,,,,,,,,001,2022-12-11_19h08.42.269,SWB_debug,2022.2.4,60.013779128878866,
loss,-0.4,-0.8,0.0,top,right,1.39,0,0,1,1,122,,,,,,,,,,,,,19.18985059997067,0.009286300046369433,19.18985059997067,-0.004629629629629629,-0.016203703703703703,0,0,0,right,2.3842056000139564,21.6072259999346,21.6072259999346,23.624930300051346,23.624930300051346,25.608890099916607,27.0265919000376,,,,,,,,,,,,,,001,2022-12-11_19h08.42.269,SWB_debug,2022.2.4,60.013779128878866,
gain,0.4,0.0,0.99,top,left,1.96,0,0,2,2,74,,,,,,,,,,,,,27.0265919000376,0.01362299988977611,27.0265919000376,-0.004629629629629629,-0.016203703703703703,0,0,0,None,,,,,,47.13352470006794,49.11808459996246,35.012586100026965,43.064691100036725,43.064691100036725,43.064691100036725,43.064691100036725,46.482231199974194,3.822916666666667,3.415091099916026,space,0.6040046999696642,,,,001,2022-12-11_19h08.42.269,SWB_debug,2022.2.4,60.013779128878866,
mix,0.0,-1.1,1.32,bottom,left,1.19,0,0,3,3,44,,,,,,,,,,,,,49.11808459996246,0.00855030003003776,49.11808459996246,-0.13425925925925927,-0.16435185185185186,0,0,0,right,2.513025499880314,51.66910480009392,51.66910480009392,53.68590299994685,53.68590299994685,55.67022339999676,56.88755859993398,,,,,,,,,,,,,,001,2022-12-11_19h08.42.269,SWB_debug,2022.2.4,60.013779128878866,
gain,0.6,0.0,1.33,top,right,1.84,0,0,4,4,93,,,,,,,,,,,,,56.88755859993398,0.007064100122079253,56.88755859993398,-0.13425925925925927,-0.16435185185185186,0,0,0,left,1.2073822000529617,58.13764510001056,58.13764510001056,60.15526310005225,60.15526310005225,62.139380200067535,64.0066869999282,,,,,,,,,,,,,,001,2022-12-11_19h08.42.269,SWB_debug,2022.2.4,60.013779128878866,
mix,0.0,-0.8,0.42,top,right,1.95,0,0,5,5,17,,,,,,,,,,,,,64.0066869999282,0.008847699966281652,64.0066869999282,-0.13425925925925927,-0.16435185185185186,0,0,0,left,0.38353580003604293,64.42392649990506,64.42392649990506,66.4415849999059,66.4415849999059,71.94346569990739,73.89480579993688,,68.45733119989745,68.45733119989745,68.45733119989745,68.45733119989745,71.32521199993789,4.291666666666666,2.8473585001192987,space,0.5848392001353204,,,,001,2022-12-11_19h08.42.269,SWB_debug,2022.2.4,60.013779128878866,
mix,0.0,-0.5,0.2,top,left,1.39,0,0,6,6,9,,,,,,,,,,,,,73.89480579993688,0.006412700051441789,73.89480579993688,-0.13425925925925927,-0.16435185185185186,0,0,0,None,,,,,,89.8998473000247,91.31752700009383,81.8969316999428,,,,,,,,,,,,,001,2022-12-11_19h08.42.269,SWB_debug,2022.2.4,60.013779128878866,
gain,0.2,0.0,0.72,bottom,right,1.71,0,0,7,7,57,,,,,,,,,,,,,91.31752700009383,0.008744999999180436,91.31752700009383,-0.13425925925925927,-0.16435185185185186,0,0,0,None,,,,,,107.3066092999652,109.04113109991886,99.30339980009012,,,,,,,,,,107.3066092999652,,,001,2022-12-11_19h08.42.269,SWB_debug,2022.2.4,60.013779128878866,
loss,-0.5,-1.8,0.0,bottom,right,1.97,0,0,8,8,137,,,,,,,,,,,,,109.04113109991886,0.007118900073692203,109.04113109991886,0.12384259259259259,0.08217592592592593,1,0,0,None,,112.05821030004881,112.05821030004881,114.07567439996637,114.07567439996637,118.2942729999777,120.29465169995092,,116.0754080999177,116.0754080999177,116.0754080999177,116.0754080999177,117.50940020009875,6.104166666666667,1.3978363999631256,space,0.752624399960041,,RightHalf,,001,2022-12-11_19h08.42.269,SWB_debug,2022.2.4,60.013779128878866,
gain,0.5,0.0,2.5,bottom,right,1.68,0,0,9,9,89,,,,,,,,,,,,,120.29465169995092,0.00636990019120276,120.29465169995092,0.20833333333333334,0.0,1,0,0,None,,121.81220680009574,121.81220680009574,123.8297035000287,123.8297035000287,125.81404109997675,127.5141829000786,,,,,,,,,,,,RightHalf,,001,2022-12-11_19h08.42.269,SWB_debug,2022.2.4,60.013779128878866,
