Round	Trial Num	TrialType	TrialOnset	ChoiceOnset	DecisionOnset	Feedback Onset	RT	Safe Bet	Low Bet	High Bet	High Bet Pos	Gamble Pos	Choice Pos	Gamble Choice	Outcome	Profit	TotalProfit	
62	118	loss	1328.9865184002556	1328.9872524002567	1334.162200300023	1334.1705646002665	5.174947899766266	-0.3	-1.08	0	top	right	left	safe	bad	-0.3	13.87	
63	72	gain	1340.9723341003992	1340.9799436000176	1345.7399466000497	1347.7551014004275	4.760003000032157	0.4	0	0.73	top	left	left	gamble	bad	0.0	13.87	
64	150	loss	1357.950886900071	1357.9575879001059	1361.7815045001917	1363.796627400443	3.823916600085795	-0.6	-3	0	top	left	left	gamble	good	0.0	13.87	
65	55	gain	1369.1087612002157	1369.115448600147	1371.6094452003017	1373.624755800236	2.4939966001547873	0.2	0	0.5	top	left	left	gamble	bad	0.0	13.87	
66	47	mix	1378.3191274004057	1378.3276871000417	1380.9545634002425	1382.9700216003694	2.62687630020082	0	-1.1	2.2	top	left	left	gamble	bad	-1.1	12.77	
67	97	gain	1396.079144100193	1396.0865603000857	1398.8946593999863	1400.911014500074	2.8080990999005735	0.6	0	1.9	top	left	left	gamble	bad	0.0	12.77	
68	2	mix	1405.9326726002619	1405.9334381003864	1410.0888908002526	1412.105658000335	4.155452699866146	0	-0.3	0.09	top	right	right	gamble	good	0.09	12.86	
69	30	mix	1416.3634389000945	1416.3710052003153	1419.9002807000652	1419.9075918002054	3.5292754997499287	0	-1.5	0.6	top	left	right	safe	good	0.0	12.86	
70	67	gain	1432.593179400079	1432.5939823002554	1435.2426808001474	1437.2578612002544	2.648698499891907	0.3	0	0.95	top	right	right	gamble	bad	0.0	12.86	
71	42	mix	1442.4302156004123	1442.430942100007	1445.5705451001413	1447.585750900209	3.1396030001342297	0	-0.8	1.2	top	right	right	gamble	bad	-0.8	12.06	
72	31	mix	1452.7917555002496	1452.7985871001147	1455.8646285003051	1457.881514500361	3.066041400190443	0	-1.5	0.78	bottom	left	left	gamble	bad	-1.5	10.56	
73	25	mix	1469.007879700046	1469.014492300339	1473.2221464002505	1473.2304489002563	4.207654099911451	0	-1.1	0.57	top	left	right	safe	bad	0.0	10.56	
74	104	loss	1480.3959322003648	1480.3968142000958	1484.8490246003494	1484.8534813001752	4.452210400253534	-0.2	-0.44	0	top	right	left	safe	bad	-0.2	10.36	
75	61	gain	1491.587476100307	1491.594324100297	1493.8107150001451	1495.8279275000095	2.216390899848193	0.3	0	0.5	top	left	left	gamble	bad	0.0	10.36	
76	106	loss	1507.3377050003037	1543.2784510999918	1547.149333700072	1547.1539882002398	3.870882600080222	-0.2	-0.56	0	bottom	left	right	safe	good	-0.2	10.16	
77	8	mix	1554.3775541000068	1554.3784632002935	1558.6937276003882	1558.7019814001396	4.3152644000947475	0	-0.5	0.1	bottom	right	left	safe	bad	0.0	10.16	
78	141	loss	1565.5048953001387	1565.5123976003379	1565.7904054000974	1558.7019814001396	0.2780077997595072	-0.6	-1.01	0	bottom	left	skip	skip	bad	0.0	10.16	
79	85	gain	2121.797487700358	2121.8051691004075	2125.1785503001884	2127.193649200257	3.3733811997808516	0.5	0	1.24	top	left	left	gamble	good	1.24	11.4	
80	116	loss	2131.9015939002857	2131.9078674004413	2135.1057207002304	2137.1223331000656	3.1978532997891307	-0.3	-0.84	0	bottom	left	left	gamble	bad	-0.84	10.56	
81	71	gain	2142.339558900334	2142.3470678003505	2146.6170956999995	2146.6244152002037	4.270027899648994	0.4	0	0.67	bottom	left	right	safe	bad	0.4	10.96	
82	39	mix	2161.30917150015	2161.3166224001907	2164.7070606001653	2146.6244152002037	3.3904381999745965	0	-0.5	0.75	top	left	skip	skip	bad	0.4	10.96	
83	66	gain	2338.3903061002493	2338.3972323001362	2341.563743600156	2343.5794284003787	3.16651130001992	0.3	0	0.84	bottom	left	left	gamble	bad	0.0	10.96	
84	63	gain	2348.9108900004067	2348.9116428000852	2351.542283100076	2353.5580056002364	2.630640299990773	0.3	0	0.6	bottom	right	right	gamble	good	0.6	11.56	
85	112	loss	2363.7866051001474	2363.7939381999895	2368.149639200419	2370.1653867000714	4.35570100042969	-0.3	-0.55	0	bottom	left	left	gamble	bad	-0.55	11.01	
86	126	loss	2375.479578300379	2375.487122400198	2383.4427694003098	0	0	-0.4	-1.12	0	bottom	left	left	gamble	NaN	0	11.01	
87	115	loss	2387.000338200014	2387.001066900324	2389.1226179003716	2391.138162500225	2.121551000047475	-0.3	-0.74	0	top	right	right	gamble	bad	-0.74	10.27	
88	139	loss	2402.6642769002356	2402.672683800105	2404.780910000205	2404.7882155003026	2.1082262001000345	-0.5	-2.1	0	top	left	right	safe	bad	-0.5	9.77	
89	99	gain	2411.9622110002674	2411.9629441001453	2414.6417847000994	2416.6586709003896	2.6788405999541283	0.6	0	2.52	bottom	right	right	gamble	good	2.52	12.29	
90	114	loss	2421.206259800121	2421.2125310003757	2423.570281600114	2423.574698800221	2.3577505997382104	-0.3	-0.67	0	top	left	right	safe	bad	-0.3	11.99	
91	13	mix	2435.1652891002595	2435.1661227000877	2437.91288660001	2437.9204603000544	2.746763899922371	0	-0.5	0.41	bottom	right	left	safe	bad	0.0	11.99	
92	56	gain	2444.5360656999983	2444.542349100113	2447.074741900433	2449.0903507000767	2.53239280031994	0.2	0	0.56	bottom	left	left	gamble	bad	0.0	11.99	
93	90	gain	2454.5219835001044	2454.5227202000096	2456.9866243000142	2456.994251600001	2.4639041000045836	0.5	0	2.5	top	right	left	safe	good	0.5	12.49	
94	11	mix	2519.903283300344	2519.911020600237	2523.3353087003343	2525.351143400185	3.4242881000973284	0	-0.5	0.26	top	left	left	gamble	bad	-0.5	11.99	
95	21	mix	2530.2073309002444	2530.2132338001393	2533.279694700148	2535.2951399004087	3.0664609000086784	0	-0.8	0.8	bottom	left	left	gamble	good	0.8	12.79	
96	51	gain	2540.5326212001964	2540.5397008000873	2543.174175700173	2545.1907953000627	2.634474900085479	0.2	0	0.34	bottom	left	left	gamble	bad	0.0	12.79	
97	108	loss	2555.717515300028	2555.7182488003746	2558.5022299000993	2560.5150356004015	2.7839810997247696	-0.2	-0.72	0	bottom	right	right	gamble	good	0.0	12.79	
98	93	gain	2565.516730900388	2565.5174519000575	2568.244123500306	2568.2513495003805	2.7266716002486646	0.6	0	1.2	top	right	left	safe	bad	0.6	13.39	
99	77	gain	2575.6692131003365	2575.669968600385	2578.2221346003935	2578.229790700134	2.552166000008583	0.4	0	1.26	top	right	left	safe	bad	0.4	13.79	
100	48	mix	2617.66818960011	2617.66895140009	2620.5996833001263	2622.6156249004416	2.930731900036335	0	-1.5	1.8	bottom	right	right	gamble	bad	-1.5	12.29	
101	91	gain	2627.3834617002867	2627.389669000171	2630.0453128004447	2632.060965300072	2.6556438002735376	0.6	0	1.01	bottom	left	left	gamble	bad	0.0	12.29	
102	105	loss	2637.536409500055	2637.5431460002437	2640.9723403002135	2642.988013900351	3.429194299969822	-0.2	-0.5	0	top	left	left	gamble	bad	-0.5	11.79	
