Round	Rating	RatingOnset	RT	
1	50	198.1694660000503	14.818706499412656	
1	1	362.19132549967617	1087.6422025999054	
4	50	1537.1405488001183	3.660759599879384	
7	53	1569.574772699736	6.22553180065006	
10	50	1607.209534900263	2.8724410999566317	
13	42	1644.708616799675	4.11954060010612	
16	50	1677.5099083995447	2.0692603001371026	
19	54	1711.7879018997774	4.3705973997712135	
22	57	1749.0420653000474	4.996469399891794	
25	54	1788.734243299812	5.55025830026716	
28	40	1822.767339900136	4.315761500038207	
31	50	1854.9497191002592	2.218072099611163	
34	31	1887.8533320995048	5.395505600608885	
37	50	1923.9909701999277	1.9905180996283889	
40	50	1957.235818799585	2.1279974998906255	
43	35	1987.0913070999086	4.7052822997793555	
46	58	2022.5005465000868	3.8113171998411417	
49	58	2056.541402700357	4.101451199501753	
52	55	2091.398418799974	2.876609600149095	
55	34	2126.1854937002063	5.37049699947238	
58	37	2161.62579189986	5.093902399763465	
61	50	2196.55462730024	1.9153440995141864	
64	50	2229.385876200162	1.5164059000089765	
67	50	2262.072650999762	2.0457629999145865	
70	37	2296.2880407003686	4.212749699130654	
73	50	2329.7675123000517	1.5988048994913697	
76	10	2360.031262099743	6.533815700560808	
79	1	2472.903917199932	8.183838300406933	
82	19	2511.7395772002637	8.15974080003798	
85	34	2548.1282133003697	4.838038699701428	
88	1	2581.8698605000973	8.060334700159729	
91	50	2615.9771982003003	2.3546489998698235	
94	41	2651.9789990000427	4.251447199843824	
97	3	2683.2100420994684	7.966467400081456	
100	1	2718.9017441999167	8.5723671996966	
103	1	2750.929712499492	8.226957800798118	
106	50	2785.0925043998286	1.900034099817276	
109	1	2815.2519811000675	7.721585200168192	
112	14	2857.4372359998524	7.34736690018326	
115	50	2896.2940170997754	1.656470799818635	
118	50	2927.2813130998984	1.6692869998514652	
121	2	2957.761807699688	7.8027634005993605	
124	29	2994.113718399778	4.333523600362241	
127	5	3026.1620038999245	12.614060999825597	
130	1	3068.2569332998246	8.614928100258112	
133	4	3105.8801331995055	7.106655700132251	
136	1	3144.140078299679	8.175762500613928	
139	50	3182.482622399926	9.794774199835956	
142	50	3227.07966350019	3.8614651998504996	
145	50	3261.316846399568	9.369047000072896	
148	8	3298.8797372002155	7.571363099850714	
151	22	3335.1679224995896	5.6974624004215	

Start Time: 09:15:19
End Time: 10:11:01
