Round	Rating	RatingOnset	RT	
1	50	317.8660435997881	23.55392870027572	
4	50	445.2915583997965	1.8555192998610437	
7	50	474.0904997000471	1.6248872997239232	
10	50	509.6554256998934	1.491213799919933	
13	50	540.2127912999131	1.3343305001035333	
16	50	568.0902561000548	1.374994599726051	
19	50	598.8233864996582	1.2261100001633167	
22	50	628.6826903996989	1.2843639003112912	
25	50	659.3286780999042	9.251305500045419	
28	50	699.3642370998859	1.0489064999856055	
31	50	732.3315342999995	1.996947799809277	
34	50	764.4951531998813	14.376588500104845	
37	50	810.4410085999407	1.3626044001430273	
40	50	840.334452799987	1.2199733997695148	
43	50	871.0733503000811	1.365383299998939	
46	50	903.0303022996522	1.407671400345862	
49	50	934.1692872000858	1.3860470997169614	
52	50	963.1239604000002	1.366094599943608	
55	50	994.1525316000916	1.303881799802184	
58	50	1023.0307021997869	1.2443220000714064	
61	50	1053.9124050997198	4.178390800021589	
64	50	1088.159549899865	1.4969846000894904	
67	50	1123.6484151999466	15.399283300153911	
70	50	1172.751576199662	1.5274456003680825	
73	50	1202.8679718999192	1.1785305999219418	
76	50	1233.9867332000285	1.826369899790734	
79	50	1268.3937546000816	1.3675022996030748	
82	50	1298.4471189999022	1.2488599000498652	
85	50	1327.0130507997237	1.3670624000951648	
88	50	1356.0228043999523	1.2586574000306427	
91	50	1385.387258300092	1.2119683995842934	
94	50	1417.1019651996903	38.27778530027717	
97	50	1494.0778541998006	34.36321990005672	
100	50	1552.4599063997157	1.4175384999252856	
103	50	1584.407300800085	1.2206835998222232	
106	50	1614.8049546000548	39.986542699858546	
109	50	1683.9774992996827	5.245816500391811	
112	50	1721.807023699861	1.6646763999015093	
115	50	1755.5743606998585	1.21532589988783	
118	50	1786.62926589977	1.34166460018605	
121	50	1813.4175942000002	1.0558921000920236	
124	50	1843.2608304996975	1.4127638000063598	
127	50	1872.166871899739	1.2088196002878249	
130	50	1901.2966581997462	1.4801338003017008	
133	50	1929.4037107997574	1.2936191000044346	
136	50	1959.741090099793	1.1882639001123607	
139	50	1987.5008467999287	1.6968098999932408	
142	50	2016.6269521000795	1.7885391996242106	
145	50	2053.1627401998267	1.1832038001157343	
148	50	2086.9642523997463	1.114522600080818	
151	50	2113.701515899971	1.0296847997233272	

Start Time: 10:36:12
End Time: 11:11:28
