Round	Rating	RatingOnset	RT	
1	33	362.395308799998	26.56642120000106	
4	39	519.7240509999974	8.114453000001959	
7	45	561.2088153999975	6.792612799999915	
10	44	598.0926421000004	2.957970999999816	
13	47	631.2429658000001	4.655903699996998	
16	44	668.7345081999993	7.159709200001089	
19	53	704.956981299998	2.120866400000523	
22	45	740.4274060999996	3.0312940000003437	
25	54	778.2304125999981	4.8735095000010915	
28	42	814.509150599999	5.45914890000131	
31	56	848.8201254999985	7.029213199999504	
34	55	886.6026294999974	2.429098700002214	
37	57	919.1434327999996	3.7371456000000762	
40	44	950.6865276999997	4.79298469999776	
43	56	987.2676758999987	4.559218999998848	
46	44	1027.4171242999982	4.1562034000016865	
49	43	1063.5902661999971	4.430436900001951	
52	44	1096.2842047999984	2.9026713999992353	
55	43	1127.0161372000002	3.5715034999993804	
58	43	1159.199047799997	2.656431100000191	
61	44	1190.8744649	2.71321419999731	
64	42	1223.2002792999992	2.670489699998143	
67	43	1262.103095399998	3.7625582000000577	
70	43	1302.0772123999996	2.7183827000008023	
73	40	1337.7535938	4.655680099996971	
76	41	1369.579914799997	4.729283300002862	
79	41	1408.039503099997	2.333688800001255	
82	40	1437.6439403999975	3.896158400002605	
85	39	1471.6123181999974	2.443915100000595	
88	40	1505.3754105999978	2.662886099999014	
91	38	1537.2980753999982	2.7066298999998253	
94	40	1569.2247207	3.5288345999979356	
97	40	1604.9169331999983	3.052123699999356	
100	38	1636.796062399997	2.7228623000009975	
103	34	1668.281425699999	3.8197116999981517	
106	39	1699.9717584999999	2.347312999998394	
109	38	1731.936804099998	2.6985439999989467	
112	36	1763.736073199998	2.5325301000011677	
115	36	1794.9565474999981	2.445671900000889	
118	38	1828.8559057999992	2.2286051999981282	
121	35	1860.0812981999989	2.635812000000442	
124	40	1890.3629963999992	2.0717723999987356	
127	39	1921.5624218999983	1.9559675000018615	
130	40	1953.0286614999968	1.807152600002155	
133	38	1984.2452276000004	2.4570177999994485	
136	41	2013.7164645999983	1.820517899999686	
139	43	2042.1406639999987	2.0813137000004645	
142	42	2072.404360299999	1.8850186999989091	
145	42	2102.3760774	2.0974040999972203	
148	40	2131.657199199999	1.8175506999978097	
151	40	2160.8480973999976	1.7940640000015264	

Start Time: 21:07:35
End Time: 21:43:38
