Round	Rating	RatingOnset	RT	
1	71	368.8609535996802	98.07442340021953	
4	81	618.0972007000819	4.32308439956978	
7	84	650.3458620999008	4.507064200006425	
10	82	681.4418993997388	4.627822000067681	
13	81	715.8658062997274	4.05257449997589	
16	80	746.237316200044	3.915083599742502	
19	80	778.4191554998979	3.866128500085324	
22	81	813.5142745999619	3.868529099971056	
25	82	843.3140690000728	4.086660399567336	
28	88	874.2844249997288	4.582975000143051	
31	83	905.0556926997378	4.4288024003617465	
34	84	936.497332399711	4.15488150017336	
37	85	974.00305069983	4.2947841002605855	
40	84	1005.2392122000456	4.425185199826956	
43	84	1040.6565450998023	4.388726400211453	
46	87	1075.410937299952	4.5163257997483015	
49	84	1109.090748500079	4.551483599934727	
52	83	1142.8461428000592	4.228262200020254	
55	86	1169.9425613000058	4.684837999753654	
58	87	1202.4312750999816	4.811883899848908	
61	87	1233.8898884998634	4.569772600196302	
64	88	1265.791321899742	4.61811859998852	
67	87	1300.1838921997696	4.607372099999338	
70	73	1337.8558026999235	3.2496484997682273	
73	79	1369.2119069998153	3.7926245001144707	
76	81	1399.5420387000777	4.246692399960011	
79	76	1476.3518412997946	3.6458395002409816	
82	75	1505.9941750997677	3.638436700217426	
85	81	1534.4260613997467	4.207265800330788	
88	80	1567.5197808998637	4.046647499781102	
91	76	1596.9502350999974	3.967163600027561	
94	81	1629.814536199905	4.151406699791551	
97	74	1661.9729881999083	3.6262523997575045	
100	87	1692.0467590996996	4.869702100288123	
103	76	1726.6955977999605	3.7526325997896492	
106	88	1756.6306129996665	4.701694100163877	
109	77	1788.5482093999162	3.801097999792546	
112	84	1817.1104151997715	4.373343599960208	
115	88	1850.6745106000453	4.757919899653643	
118	83	1882.4379308000207	4.061198799870908	
121	86	1911.7251900997944	4.457728100009263	
124	88	1941.4754606997594	4.858643500134349	
127	85	1975.9914732999168	4.424632700160146	
130	85	2005.1952606998384	4.421940000262111	
133	90	2036.228124300018	5.055680399760604	
136	85	2068.54328339966	4.248068800196052	
139	90	2097.9038718999363	4.847035499755293	
142	85	2129.148678800091	4.469447499606758	
145	89	2159.3225316996686	4.7025959002785385	
148	81	2189.82515939977	3.927493399940431	
151	93	2220.3753343997523	5.043538300320506	

Start Time: 14:29:06
End Time: 15:06:13
