8.4154 	EXP 	New trial (rep=0, index=10): {'imageFile': 'different/049_218_L.jpg', 'corrAns': 'right', 'sameOrDiff': 'different', 'ori': 0}
8.4345 	DATA 	Keypress: right
8.4374 	EXP 	faces: autoDraw = False
8.4374 	EXP 	faces: ori = 0.0
8.4374 	EXP 	faces: size = array([1.04166667, 1.16666667])
8.4374 	EXP 	faces: image = 'different/049_218_L.jpg'
8.4374 	EXP 	faces: autoDraw = True
8.4822 	EXP 	New trial (rep=0, index=11): {'imageFile': 'different/019_074_L.jpg', 'corrAns': 'right', 'sameOrDiff': 'different', 'ori': 0}
8.5008 	DATA 	Keypress: left
8.5043 	EXP 	faces: autoDraw = False
8.5043 	EXP 	faces: ori = 0.0
8.5043 	EXP 	faces: size = array([1.04166667, 1.16666667])
8.5043 	EXP 	faces: image = 'different/019_074_L.jpg'
8.5043 	EXP 	faces: autoDraw = True
8.6654 	EXP 	New trial (rep=0, index=12): {'imageFile': 'same/102_C2_DV.jpg', 'corrAns': 'left', 'sameOrDiff': 'same', 'ori': 0}
8.6867 	DATA 	Keypress: right
8.6921 	EXP 	faces: autoDraw = False
8.6921 	EXP 	faces: ori = 0.0
8.6921 	EXP 	faces: size = array([1.04166667, 1.16666667])
8.6921 	EXP 	faces: image = 'same/102_C2_DV.jpg'
8.6921 	EXP 	faces: autoDraw = True
8.6995 	DATA 	Keypress: left
8.7069 	EXP 	New trial (rep=0, index=13): {'imageFile': 'different/132_210_R.jpg', 'corrAns': 'right', 'sameOrDiff': 'different', 'ori': 180}
8.7278 	EXP 	faces: autoDraw = False
8.7278 	EXP 	faces: ori = 180.0
8.7278 	EXP 	faces: size = array([1.04166667, 1.16666667])
8.7278 	EXP 	faces: image = 'different/132_210_R.jpg'
8.7278 	EXP 	faces: autoDraw = True
8.8836 	DATA 	Keypress: right
8.8993 	EXP 	New trial (rep=0, index=14): {'imageFile': 'different/120_133_R.jpg', 'corrAns': 'right', 'sameOrDiff': 'different', 'ori': 180}
8.9244 	EXP 	faces: autoDraw = False
8.9244 	EXP 	faces: ori = 180.0
8.9244 	EXP 	faces: size = array([1.04166667, 1.16666667])
8.9244 	EXP 	faces: image = 'different/120_133_R.jpg'
8.9244 	EXP 	faces: autoDraw = True
8.9484 	EXP 	New trial (rep=0, index=15): {'imageFile': 'different/296_235_L.jpg', 'corrAns': 'right', 'sameOrDiff': 'different', 'ori': 180}
8.9665 	DATA 	Keypress: left
8.9701 	EXP 	faces: autoDraw = False
8.9701 	EXP 	faces: ori = 180.0
8.9701 	EXP 	faces: size = array([1.04166667, 1.16666667])
8.9701 	EXP 	faces: image = 'different/296_235_L.jpg'
8.9701 	EXP 	faces: autoDraw = True
9.1488 	EXP 	New trial (rep=0, index=16): {'imageFile': 'different/282_108_R.jpg', 'corrAns': 'right', 'sameOrDiff': 'different', 'ori': 180}
9.1713 	DATA 	Keypress: right
9.1713 	DATA 	Keypress: left
9.1742 	EXP 	faces: autoDraw = False
9.1742 	EXP 	faces: ori = 180.0
9.1742 	EXP 	faces: size = array([1.04166667, 1.16666667])
9.1742 	EXP 	faces: image = 'different/282_108_R.jpg'
9.1742 	EXP 	faces: autoDraw = True
9.4146 	EXP 	New trial (rep=0, index=17): {'imageFile': 'different/013_235_R.jpg', 'corrAns': 'right', 'sameOrDiff': 'different', 'ori': 0}
9.4319 	DATA 	Keypress: right
9.4320 	DATA 	Keypress: left
9.4345 	EXP 	faces: autoDraw = False
9.4345 	EXP 	faces: ori = 0.0
9.4345 	EXP 	faces: size = array([1.04166667, 1.16666667])
9.4345 	EXP 	faces: image = 'different/013_235_R.jpg'
9.4345 	EXP 	faces: autoDraw = True
9.6329 	EXP 	New trial (rep=0, index=18): {'imageFile': 'different/102_224_R.jpg', 'corrAns': 'right', 'sameOrDiff': 'different', 'ori': 0}
9.6519 	DATA 	Keypress: right
9.6544 	EXP 	faces: autoDraw = False
9.6544 	EXP 	faces: ori = 0.0
9.6544 	EXP 	faces: size = array([1.04166667, 1.16666667])
9.6544 	EXP 	faces: image = 'different/102_224_R.jpg'
9.6544 	EXP 	faces: autoDraw = True
9.7162 	EXP 	New trial (rep=0, index=19): {'imageFile': 'same/074_C2_DV.jpg', 'corrAns': 'left', 'sameOrDiff': 'same', 'ori': 0}
9.7363 	DATA 	Keypress: left
9.7415 	EXP 	faces: autoDraw = False
9.7415 	EXP 	faces: ori = 0.0
9.7415 	EXP 	faces: size = array([1.04166667, 1.16666667])
9.7415 	EXP 	faces: image = 'same/074_C2_DV.jpg'
9.7415 	EXP 	faces: autoDraw = True
9.9000 	EXP 	New trial (rep=0, index=20): {'imageFile': 'same/115_C2_DV.jpg', 'corrAns': 'left', 'sameOrDiff': 'same', 'ori': 180}
9.9192 	DATA 	Keypress: right
9.9233 	EXP 	faces: autoDraw = False
9.9233 	EXP 	faces: ori = 180.0
9.9233 	EXP 	faces: size = array([1.04166667, 1.16666667])
9.9233 	EXP 	faces: image = 'same/115_C2_DV.jpg'
9.9233 	EXP 	faces: autoDraw = True
9.9651 	EXP 	New trial (rep=0, index=21): {'imageFile': 'same/168_C2_DV.jpg', 'corrAns': 'left', 'sameOrDiff': 'same', 'ori': 180}
9.9796 	DATA 	Keypress: left
9.9834 	EXP 	faces: autoDraw = False
9.9834 	EXP 	faces: ori = 180.0
9.9834 	EXP 	faces: size = array([1.04166667, 1.16666667])
9.9834 	EXP 	faces: image = 'same/168_C2_DV.jpg'
9.9834 	EXP 	faces: autoDraw = True
10.2527 	DATA 	Keypress: left
10.2671 	EXP 	New trial (rep=0, index=22): {'imageFile': 'different/106_224_L.jpg', 'corrAns': 'right', 'sameOrDiff': 'different', 'ori': 0}
10.2890 	EXP 	faces: autoDraw = False
10.2890 	EXP 	faces: ori = 0.0
10.2890 	EXP 	faces: size = array([1.04166667, 1.16666667])
10.2890 	EXP 	faces: image = 'different/106_224_L.jpg'
10.2890 	EXP 	faces: autoDraw = True
10.4327 	EXP 	New trial (rep=0, index=23): {'imageFile': 'different/209_224_R.jpg', 'corrAns': 'right', 'sameOrDiff': 'different', 'ori': 180}
10.4451 	DATA 	Keypress: right
10.4474 	EXP 	faces: autoDraw = False
10.4474 	EXP 	faces: ori = 180.0
10.4474 	EXP 	faces: size = array([1.04166667, 1.16666667])
10.4474 	EXP 	faces: image = 'different/209_224_R.jpg'
10.4474 	EXP 	faces: autoDraw = True
