Round	Trial Num	TrialType	TrialOnset	ChoiceOnset	DecisionOnset	Feedback Onset	RT	Safe Bet	Low Bet	High Bet	High Bet Pos	Gamble Pos	Choice Pos	Gamble Choice	Outcome	Profit	TotalProfit	
1	97	gain	137.65951540000015	137.67167569999992	140.35873960000026	142.3755017000003	2.6870639000003393	0.6	0	1.9	top	left	left	gamble	bad	0.0	10.0	
2	44	mix	147.40105510000012	147.4018218000001	149.38767600000028	151.40425390000019	1.9858542000001762	0	-1.1	1.1	bottom	right	right	gamble	bad	-1.1	8.9	
3	36	mix	156.69189559999995	156.69997450000028	157.50013720000015	159.51646900000014	0.8001626999998734	0	-0.3	0.45	top	left	left	gamble	bad	-0.3	8.6	
4	18	mix	169.9276364000002	169.9283706000001	172.17519390000007	172.1833912000002	2.24682329999996	0	-0.8	0.42	top	right	left	safe	bad	0.0	8.6	
5	34	mix	179.6734693000003	179.67421719999993	182.0894899	184.10309370000004	2.4152727000000596	0	-1.5	1.5	bottom	right	right	gamble	good	1.5	10.1	
6	121	loss	189.34068260000004	189.34956469999997	192.0312216000002	194.04781760000014	2.6816569000002346	-0.4	-0.67	0	bottom	left	left	gamble	good	0.0	10.1	
7	109	loss	204.1746350000003	204.1766034000002	206.9401370999999	206.94752289999997	2.763533699999698	-0.2	-0.84	0	bottom	right	left	safe	bad	-0.2	9.9	
8	26	mix	214.17824629999996	214.18683039999996	218.96713930000033	220.98304039999994	4.780308900000364	0	-1.1	0.73	bottom	left	left	gamble	bad	-1.1	8.8	
9	48	mix	225.8616078	225.86247200000025	228.0622596000003	230.07943980000027	2.199787600000036	0	-1.5	1.8	bottom	right	right	gamble	bad	-1.5	7.3	
10	5	mix	244.50468520000004	244.51028350000024	246.93628900000022	246.94128720000026	2.426005499999974	0	-0.3	0.2	top	left	right	safe	good	0.0	7.3	
11	89	gain	254.41760680000016	254.4251752	260.0292324000002	262.04517209999995	5.60405720000017	0.5	0	2.1	top	left	left	gamble	good	2.1	9.4	
12	110	loss	267.25278230000004	267.2616376000001	273.80473660000007	275.82029009999997	6.543098999999984	-0.2	-1	0	top	left	left	gamble	good	0.0	9.4	
13	75	gain	287.84835490000023	287.85540820000006	291.2455467	293.2615628000003	3.390138499999921	0.4	0	0.99	top	left	left	gamble	good	0.99	10.39	
14	42	mix	298.7401178	298.74102600000015	306.3041479000003	306.3124544000002	7.563121900000169	0	-0.8	1.2	top	right	left	safe	good	0.0	10.39	
15	61	gain	313.5496141000003	313.55511849999994	315.9321682	317.94886640000004	2.3770497000000432	0.3	0	0.5	top	left	left	gamble	bad	0.0	10.39	
16	1	mix	330.12589909999997	330.1340629000001	335.5217498000002	337.53855150000027	5.3876869000000625	0	-0.3	0.06	bottom	left	left	gamble	bad	-0.3	10.09	
17	76	gain	342.2076853000003	342.2167697	348.3983011	348.4027414000002	6.18153140000004	0.4	0	1.12	bottom	left	right	safe	good	0.4	10.49	
18	125	loss	355.37023610000006	355.37602300000026	361.22504560000016	361.2333523000002	5.849022599999898	-0.4	-0.99	0	top	left	right	safe	bad	-0.4	10.09	
19	123	loss	371.8033802	371.80413339999996	375.1514351999999	375.1589008000001	3.3473017999999684	-0.4	-0.8	0	bottom	right	left	safe	good	-0.4	9.69	
20	21	mix	382.0863459000002	382.0932739	386.07907320000004	388.0941287999999	3.9857993000000533	0	-0.8	0.8	bottom	left	left	gamble	good	0.8	10.49	
21	117	loss	393.33183499999996	393.3325509000001	400.9379205	402.9537014000002	7.605369599999904	-0.3	-0.95	0	top	right	right	gamble	bad	-0.95	9.54	
22	143	loss	415.79715209999995	415.7978919000002	420.12714589999996	420.1354688000001	4.329253999999764	-0.6	-1.2	0	top	right	left	safe	bad	-0.6	8.94	
23	60	gain	427.6641282999999	427.67120350000005	432.1711902000002	434.18653059999997	4.499986700000136	0.2	0	1	top	left	left	gamble	good	1.0	9.94	
24	130	loss	439.2423222000002	439.25078170000006	440.8827314	442.89921649999997	1.63194969999995	-0.4	-2	0	top	left	left	gamble	bad	-2.0	7.94	
25	63	gain	454.34344820000024	454.34421440000006	461.4390330000001	463.4553844000002	7.094818600000053	0.3	0	0.6	bottom	right	right	gamble	good	0.6	8.54	
26	147	loss	468.6921536	468.6987586	473.14939030000005	475.16578640000034	4.450631700000031	-0.6	-1.9	0	top	left	left	gamble	bad	-1.9	6.64	
27	102	loss	480.07475650000015	480.0754801000003	484.59319270000015	486.60971800000016	4.517712599999868	-0.2	-0.36	0	top	right	right	gamble	good	0.0	6.64	
28	56	gain	496.9875197000001	496.99386700000014	504.3830522000003	506.3987692999999	7.389185200000156	0.2	0	0.56	bottom	left	left	gamble	bad	0.0	6.64	
29	86	gain	511.83218350000016	511.8400079000003	515.9599872000003	517.9758027000003	4.119979300000068	0.5	0	1.4	top	left	left	gamble	bad	0.0	6.64	
30	77	gain	523.2415974999999	523.242452	527.4539206	527.4618708000003	4.211468599999989	0.4	0	1.26	top	right	left	safe	bad	0.4	7.04	
31	35	mix	540.1473218000001	540.1567264	546.5101758999999	548.5274079000001	6.353449499999897	0	-0.3	0.36	top	left	left	gamble	good	0.36	7.4	
32	104	loss	553.2835055999999	553.2842664	559.7869466000002	561.8018594	6.5026802000002135	-0.2	-0.44	0	top	right	right	gamble	good	0.0	7.4	
33	52	gain	565.9972266	565.9979745999999	573.979926	0	0	0.2	0	0.36	top	right	NaN	NaN	Nan	0	7.4	
34	39	mix	585.4069829	585.4127347000003	587.2382585	589.2552977	1.8255237999997007	0	-0.5	0.75	top	left	left	gamble	good	0.75	8.15	
35	38	mix	594.4555307999999	594.4562452	597.0670799	597.0739747000002	2.610834699999941	0	-0.5	0.6	bottom	right	left	safe	bad	0.0	8.15	
36	148	loss	603.7763246	603.7801872	607.7281741000002	609.7444183000002	3.94798690000016	-0.6	-2.16	0	bottom	right	right	gamble	bad	-2.16	5.99	
37	99	gain	622.6363495999999	622.6371674000002	630.6328771000003	0	0	0.6	0	2.52	bottom	right	NaN	NaN	Nan	0	5.99	
38	96	gain	632.7131731	632.7210717000003	640.6940824000003	0	0	0.6	0	1.68	bottom	left	NaN	NaN	NaN	0	5.99	
39	103	loss	644.6118860000001	644.6126315000001	652.5868727000002	0	0	-0.2	-0.4	0	top	right	NaN	NaN	Nan	0	5.99	
40	13	mix	672.0113984	672.0121802000003	676.6582363000002	678.6741698000001	4.646056099999896	0	-0.5	0.41	bottom	right	right	gamble	good	0.41	6.4	
41	73	gain	683.2842822000002	683.2850671000001	691.2674641000003	0	0	0.4	0	0.8	bottom	right	NaN	NaN	Nan	0	6.4	
42	93	gain	693.5268496000003	693.5276501000003	694.8147641	696.8312641000002	1.2871139999997467	0.6	0	1.2	top	right	right	gamble	good	1.2	7.6	
43	101	loss	707.6420961000003	707.6499550000003	710.4897672000002	712.5054709000001	2.8398121999998693	-0.2	-0.34	0	bottom	left	left	gamble	bad	-0.34	7.26	
44	90	gain	718.0270141999999	718.0277639000001	722.4839085000003	724.50018	4.456144600000243	0.5	0	2.5	top	right	right	gamble	bad	0.0	7.26	
45	83	gain	729.6914658999999	729.6921781000001	734.4274898000003	736.4438577000001	4.7353117000002385	0.5	0	1	bottom	right	right	gamble	good	1.0	8.26	
46	141	loss	742.9558697000002	742.9623530000003	746.5544271000003	748.5709667000001	3.5920740999999907	-0.6	-1.01	0	bottom	left	left	gamble	bad	-1.01	7.25	
47	95	gain	753.1906401000001	753.1973048	759.1146137000001	761.1302207000003	5.91730890000008	0.6	0	1.49	top	left	left	gamble	bad	0.0	7.25	
