TrialType,CertainAmt,TopAmt,BottomAmt,Outcome,RiskSide,ITI,Rating,trialControl.thisRepN,trialControl.thisTrialN,trialControl.thisN,trialControl.thisIndex,revealLoop.thisRepN,revealLoop.thisTrialN,revealLoop.thisN,revealLoop.thisIndex,timeoutLoop.thisRepN,timeoutLoop.thisTrialN,timeoutLoop.thisN,timeoutLoop.thisIndex,HowHappyCheck.thisRepN,HowHappyCheck.thisTrialN,HowHappyCheck.thisN,HowHappyCheck.thisIndex,welcomeText.started,Win.started,Mouse.started,Keys.started,Mouse.x,Mouse.y,Mouse.leftButton,Mouse.midButton,Mouse.rightButton,Keys.keys,Keys.rt,Win_2.started,WinMsg.started,Win_3.started,WinMsg_2.started,Cross.started,Cross.stopped,HowHappySlider.started,UnHappy.started,Happy.started,SliderKeyboard.started,SpacetoExit.started,HowHappySlider.response,HowHappySlider.rt,SliderKeyboard.keys,SliderKeyboard.rt,participant,session,date,expName,psychopyVersion,frameRate,
mix,0.0,-1.5,0.99,top,left,1.37,0,0,0,0,31,,,,,,,,,,,,,46.328242300000056,51.409574400000565,0.023344299999735085,51.409574400000565,0.4097222222222222,0.19907407407407407,0,0,0,right,2.115559800000483,53.57713549999971,53.57713549999971,55.59551790000114,55.59551790000114,57.56257150000056,58.96253539999998,,,,,,,,,,,001,2022-12-15_12h56.41.456,SWB_debug,2022.2.4,60.00366022276637,
loss,-0.3,-1.08,0.0,top,right,1.25,0,0,1,1,117,,,,,,,,,,,,,,58.96253539999998,0.009692800000266288,58.96253539999998,0.44675925925925924,0.21875,0,0,0,left,0.3872414999987086,59.396229400001175,59.396229400001175,61.41422039999998,61.41422039999998,63.397321600001305,64.66481910000039,,,,,,,,,,,001,2022-12-15_12h56.41.456,SWB_debug,2022.2.4,60.00366022276637,
loss,-0.6,-1.49,0.0,bottom,left,1.56,0,0,2,2,144,,,,,,,,,,,,,,64.66481910000039,0.010620999999446212,64.66481910000039,0.44675925925925924,0.21875,0,0,0,right,0.6688769999982469,65.38160609999977,65.38160609999977,67.39913660000093,67.39913660000093,73.484647700001,75.0698924999997,69.43205910000142,69.43205910000142,69.43205910000142,72.56660890000057,72.56660890000057,4.291666666666666,3.1330441999998584,space,0.8878501999988657,,001,2022-12-15_12h56.41.456,SWB_debug,2022.2.4,60.00366022276637,
,,,,,,,,,,,,,,,,,,,,,,,,,75.0698924999997,0.008824399999866728,75.0698924999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
