TrialType,CertainAmt,TopAmt,BottomAmt,Outcome,RiskSide,ITI,Rating,trialControl.thisRepN,trialControl.thisTrialN,trialControl.thisN,trialControl.thisIndex,revealLoop.thisRepN,revealLoop.thisTrialN,revealLoop.thisN,revealLoop.thisIndex,timeoutLoop.thisRepN,timeoutLoop.thisTrialN,timeoutLoop.thisN,timeoutLoop.thisIndex,HowHappyCheck.thisRepN,HowHappyCheck.thisTrialN,HowHappyCheck.thisN,HowHappyCheck.thisIndex,welcomeText1.started,space_to_continue.started,welcomeText2.started,space_to_continue_2.started,Win.started,Keys.started,Mouse.started,Keys.keys,Keys.rt,Mouse.x,Mouse.y,Mouse.leftButton,Mouse.midButton,Mouse.rightButton,Win_2.started,WinMsg.started,Win_3.started,WinMsg_2.started,Cross.started,Cross.stopped,HowHappySlider.started,UnHappy.started,Happy.started,SliderKeyboard.started,SpacetoExit.started,HowHappySlider.response,HowHappySlider.rt,SliderKeyboard.keys,SliderKeyboard.rt,Win_2.stopped,WinMsg.stopped,exitText.started,participant,session,date,expName,psychopyVersion,frameRate,
gain,0.2,0.0,0.84,bottom,right,1.6,0,0,0,0,27,,,,,,,,,,,,,12.661338125006296,1.5208002878353e-05,14.725404333992628,6.0416990891098976e-05,15.496165874996223,15.496165874996223,0.015733041014755145,right,0.8442552920023445,-0.5763888888888888,0.5034722222222222,0,0,0,16.37913720900542,16.37913720900542,18.39277841700823,18.39277841700823,20.37525050001568,22.00183691701386,,,,,,,,,,,,,testtt,001,2023-03-30_16h52.52.317,SWB_debug,2022.2.4,59.582978609311276,
loss,-0.6,-2.52,0.0,bottom,right,1.73,1,0,1,1,36,,,,,,,,,,,,,,,,,22.00183691701386,22.00183691701386,0.0203733749804087,left,0.4326011249795556,-0.5763888888888888,0.5034722222222222,0,0,0,22.469586209015688,22.469586209015688,24.485027959017316,24.485027959017316,26.468638916994678,28.207974125019973,,,,,,,,,,,,,testtt,001,2023-03-30_16h52.52.317,SWB_debug,2022.2.4,59.582978609311276,
loss,-0.6,-1.2,0.0,top,right,1.98,0,0,2,2,30,,,,,,,,,,,,,,,,,28.207974125019973,28.207974125019973,0.00938616701751016,right,0.35514587501529604,-0.5763888888888888,0.5034722222222222,0,0,0,28.58766720900894,28.58766720900894,30.59414579201257,30.59414579201257,35.5020457500068,37.48882320901612,32.58848925001803,32.58848925001803,32.58848925001803,35.23526512499666,35.23526512499666,4.020833333333333,2.6257809170056134,space,0.2425068329903297,,,,testtt,001,2023-03-30_16h52.52.317,SWB_debug,2022.2.4,59.582978609311276,
gain,0.2,0.0,0.5,bottom,left,1.19,1,0,3,3,23,,,,,,,,,,,,,,,,,37.48882320901612,37.48882320901612,0.01166883300174959,left,0.31917479197727516,-0.16435185185185186,-0.20601851851851852,0,0,0,37.836739459016826,37.836739459016826,39.85467554201023,39.85467554201023,41.84781383399968,43.052074875013204,,,,,,,,,,,,,testtt,001,2023-03-30_16h52.52.317,SWB_debug,2022.2.4,59.582978609311276,
gain,0.2,0.0,0.4,bottom,right,1.28,0,0,4,4,21,,,,,,,,,,,,,,,,,43.052074875013204,43.052074875013204,0.00794108398258686,right,0.5787705830007326,-0.16435185185185186,-0.20601851851851852,0,0,0,43.65192958401167,43.65192958401167,45.66623683401849,45.66623683401849,47.6645422920119,48.95354225000483,,,,,,,,,,,,,testtt,001,2023-03-30_16h52.52.317,SWB_debug,2022.2.4,59.582978609311276,
gain,0.2,0.0,0.36,top,right,1.29,0,0,5,5,20,,,,,,,,,,,,,,,,,48.95354225000483,48.95354225000483,0.009643957979278639,left,0.3134897919953801,-0.16435185185185186,-0.20601851851851852,0,0,0,49.30169070899137,49.30169070899137,51.316422750009224,51.316422750009224,54.609234792005736,55.90816866699606,53.30908158401144,53.30908158401144,53.30908158401144,54.31438429199625,54.31438429199625,4.020833333333333,0.9818932500202209,space,0.2828230829909444,,,,testtt,001,2023-03-30_16h52.52.317,SWB_debug,2022.2.4,59.582978609311276,
mix,0.0,-0.3,0.2,bottom,left,1.95,0,0,6,6,4,,,,,,,,,,,,,,,,,55.90816866699606,55.90816866699606,0.012570666993269697,right,0.4852915829978883,-0.16435185185185186,-0.20601851851851852,0,0,0,56.42670329200337,56.42670329200337,58.42989712499548,58.42989712499548,60.43927975001861,62.396172042004764,,,,,,,,,,,,,testtt,001,2023-03-30_16h52.52.317,SWB_debug,2022.2.4,59.582978609311276,
mix,0.0,-0.5,0.1,bottom,right,1.26,0,0,7,7,7,,,,,,,,,,,,,,,,,62.396172042004764,62.396172042004764,0.007246417022543028,left,0.270812125003431,-0.16435185185185186,-0.20601851851851852,0,0,0,62.69236862499383,62.69236862499383,64.70607041701442,64.70607041701442,66.70593724999344,67.96928641700651,,,,,,,,,,,,,testtt,001,2023-03-30_16h52.52.317,SWB_debug,2022.2.4,59.582978609311276,
mix,0.0,-0.5,0.15,bottom,right,1.0,0,0,8,8,8,,,,,,,,,,,,,,,,,67.96928641700651,67.96928641700651,0.004070082999533042,left,0.3624481669976376,-0.16435185185185186,-0.20601851851851852,0,0,0,68.36623833401245,68.36623833401245,70.38147691701306,70.38147691701306,73.62577300000703,74.63318154201261,72.37541775000864,72.37541775000864,72.37541775000864,73.48097108400543,73.48097108400543,4.020833333333333,1.0826541669957805,space,0.1326230830163695,,,,testtt,001,2023-03-30_16h52.52.317,SWB_debug,2022.2.4,59.582978609311276,
mix,0.0,-0.5,0.33,top,left,1.51,1,0,9,9,11,,,,,,,,,,,,,,,,,74.63318154201261,74.63318154201261,0.0046508340165019035,left,0.4400161250086967,-0.16435185185185186,-0.20601851851851852,0,0,0,75.09998366699438,75.09998366699438,77.11736245901557,77.11736245901557,79.11434229201404,80.63909391700872,,,,,,,,,,,,,testtt,001,2023-03-30_16h52.52.317,SWB_debug,2022.2.4,59.582978609311276,
gain,0.2,0.0,0.44,top,right,1.06,0,0,10,10,22,,,,,,,,,,,,,,,,,80.63909391700872,80.63909391700872,0.011915625014808029,left,0.3506560839887243,-0.16435185185185186,-0.20601851851851852,0,0,0,81.02694254199741,81.02694254199741,83.03272166699753,83.03272166699753,85.03919845900964,86.10741129200323,,,,,,,,,,,,,testtt,001,2023-03-30_16h52.52.317,SWB_debug,2022.2.4,59.582978609311276,
loss,-0.6,-3.0,0.0,top,left,1.8,0,0,11,11,37,,,,,,,,,,,,,,,,,86.10741129200323,86.10741129200323,0.012176249991171062,left,0.49579654101398773,-0.16435185185185186,-0.20601851851851852,0,0,0,86.6250519590103,86.6250519590103,88.6356176249974,88.6356176249974,92.98374608400627,94.79684241701034,90.63916983400122,90.63916983400122,90.63916983400122,92.80590133400983,92.80590133400983,4.020833333333333,2.165535208012443,space,0.16383516698260792,,,,testtt,001,2023-03-30_16h52.52.317,SWB_debug,2022.2.4,59.582978609311276,
mix,0.0,-0.8,0.16,bottom,right,1.8,0,0,12,12,14,,,,,,,,,,,,,,,,,94.79684241701034,94.79684241701034,0.011980999988736585,left,0.5562244589964394,-0.16435185185185186,-0.20601851851851852,0,0,0,95.3872299590148,95.3872299590148,97.40076545899501,97.40076545899501,99.38062929201988,101.17782145901583,,,,,,,,,,,,,testtt,001,2023-03-30_16h52.52.317,SWB_debug,2022.2.4,59.582978609311276,
loss,-0.6,-1.49,0.0,bottom,left,1.56,0,0,13,13,32,,,,,,,,,,,,,,,,,101.17782145901583,101.17782145901583,0.006815416010795161,left,0.5137072500074282,-0.16435185185185186,-0.20601851851851852,0,0,0,101.71873737499118,101.71873737499118,103.73183229201823,103.73183229201823,105.72239895901293,107.2878150420147,,,,,,,,,,,,,testtt,001,2023-03-30_16h52.52.317,SWB_debug,2022.2.4,59.582978609311276,
gain,0.2,0.0,0.72,bottom,right,1.71,0,0,14,14,26,,,,,,,,,,,,,,,,,107.2878150420147,107.2878150420147,0.011276708013610914,left,0.7035148340219166,-0.16435185185185186,-0.20601851851851852,0,0,0,108.01907445900724,108.01907445900724,110.03563937501167,110.03563937501167,113.20598883400089,114.93008170899702,112.02254150001681,112.02254150001681,112.02254150001681,113.03919395900448,113.03919395900448,4.020833333333333,1.0090752500109375,space,0.13844695800798945,,,,testtt,001,2023-03-30_16h52.52.317,SWB_debug,2022.2.4,59.582978609311276,
