Round	Rating	RatingOnset	RT	
1	72	252.15353239999968	67.36059170000954	
4	57	462.5433628000028	9.390664100006688	
7	50	506.73264519999793	3.0813660999992862	
10	50	541.89146910001	2.9197233999875607	
13	65	585.4181129000062	8.000586099995417	
16	65	627.422370100001	5.426181000002543	
19	78	665.2084818000003	7.334844500001054	
22	63	706.1822148000065	4.7582191999972565	
25	65	745.6336723999993	6.734325400000671	
28	59	785.6865601000027	4.295538899998064	
31	65	825.0108639999962	4.866461500001606	
34	50	863.3387324000068	329.9794280999922	
37	65	1226.339135000002	4.9244178000080865	
40	62	1265.5057997999975	6.870086599999922	
43	84	1307.6174085000093	8.435020999997505	
46	76	1351.6399491000047	8.071764099993743	
49	65	1400.2191286000016	5.1693559999985155	
52	66	1445.709173299998	5.305318600003375	
55	64	1489.2449232000072	7.795094899993273	
58	50	1535.38495230001	3.216125599996303	
61	68	1580.85725500001	5.584480099991197	
64	64	1620.5037972999999	5.017829500007792	
67	65	1661.1288034000027	5.920184799993876	
70	56	1703.1732781000028	7.519958799995948	
73	56	1749.8795719000045	3.6407660999975633	
76	58	1790.7854578999977	3.2134951000043657	
79	61	2118.933404299998	8.038821699999971	
82	74	2160.2445678000076	10.58774619999167	
85	60	2210.5950582000078	3.9134284000028856	
88	50	2250.7690686999995	1.7364347999973688	
91	75	2287.942841600001	5.640843900007894	
94	71	2336.164853299997	5.093536400003359	
97	50	2378.8908934000065	3.2625876999954926	
100	54	2420.191629000008	3.1727567999914754	
103	65	2463.156560000003	4.650525499993819	
106	67	2509.105018500006	4.96097089999239	
109	60	2554.1459142000094	6.961715699988417	
112	65	2599.33900610001	4.280142799994792	
115	68	2640.9832763000013	5.529768899999908	
118	68	2684.5961072000064	5.160153999997419	
121	66	2726.180832500002	5.204146799995215	
124	64	2769.2772554999974	9.049162100011017	
127	74	2816.8436432000017	12.2058304999955	
130	70	2864.101165500004	6.776113100000657	
133	68	2906.302764699998	5.702007500003674	
136	77	2948.6709061	7.060671500003082	
139	66	2993.7265232000063	5.04955450000125	
142	70	3035.293174000006	4.960405599995283	
145	68	3074.27517790001	5.873623899999075	
148	69	3119.692544400008	5.449766699995962	
151	65	3163.0929372999963	4.725995000000694	

Start Time: 14:09:43
End Time: 15:02:32
