Round	Trial Num	TrialType	TrialOnset	ChoiceOnset	DecisionOnset	Feedback Onset	RT	Safe Bet	Low Bet	High Bet	High Bet Pos	Gamble Pos	Choice Pos	Gamble Choice	Outcome	Profit	TotalProfit	
110	18	mix	2574.6936873000086	2574.6944299000024	2581.51341710001	2581.521139400007	6.818987200007541	0	-0.8	0.42	top	right	left	safe	bad	0.0	14.12	
111	97	gain	2588.9961156000063	2589.0033209999965	2592.3072428000014	2594.3236552000017	3.3039218000049004	0.6	0	1.9	top	left	left	gamble	bad	0.0	14.12	
112	8	mix	2604.6515413000016	2604.6523282999988	2609.2487406	2609.252231899998	4.596412300001248	0	-0.5	0.1	bottom	right	left	safe	bad	0.0	14.12	
113	75	gain	2616.040049400006	2616.046282199997	2620.0768528000044	2622.0925810000044	4.030570600007195	0.4	0	0.99	top	left	left	gamble	good	0.99	15.11	
114	39	mix	2627.569537800009	2627.577086400008	2633.769579700005	2635.784726900005	6.192493299997295	0	-0.5	0.75	top	left	left	gamble	good	0.75	15.86	
115	15	mix	2647.5463224999985	2647.5470523999975	2652.209241500008	2652.2170388000086	4.662189100010437	0	-0.8	0.16	top	right	left	safe	good	0.0	15.86	
116	102	loss	2659.5409097000083	2659.541624999998	2665.735748799998	2667.7519221999974	6.194123799999943	-0.2	-0.36	0	top	right	right	gamble	good	0.0	15.86	
117	114	loss	2671.805221500006	2671.8174683000107	2677.796249799998	2679.8125954999996	5.978781499987235	-0.3	-0.67	0	top	left	left	gamble	good	0.0	15.86	
118	19	mix	2690.7897620000003	2690.790559400004	2698.768895400004	0	0	0	-0.8	0.53	bottom	right	NaN	NaN	Nan	0	15.86	
119	65	gain	2702.6670603000093	2702.6692742000014	2707.6798135999998	2707.687638400006	5.010539399998379	0.3	0	0.74	top	right	left	safe	good	0.3	16.16	
120	20	mix	2714.861641299998	2714.8693207000033	2718.757595400006	2720.7734870999993	3.888274700002512	0	-0.8	0.66	top	left	left	gamble	bad	-0.8	15.36	
121	67	gain	2732.416927600003	2732.4177242000005	2739.2136177000066	2741.2295471000107	6.795893500006059	0.3	0	0.95	top	right	right	gamble	bad	0.0	15.36	
122	99	gain	2746.4009598999983	2746.4016746999987	2750.7407275000005	2752.7573846000014	4.339052800001809	0.6	0	2.52	bottom	right	right	gamble	good	2.52	17.88	
123	143	loss	2757.3105136000086	2757.311263399999	2765.2999872000073	0	0	-0.6	-1.2	0	top	right	NaN	NaN	Nan	0	17.88	
124	50	mix	2779.3588995000027	2779.3648726999963	2785.0552808000066	2787.07158470001	5.690408100010245	0	-1.5	3	top	left	left	gamble	good	3.0	20.88	
125	32	mix	2792.4683898000076	2792.4717339000053	2798.548279900002	2800.5643006000028	6.076545999996597	0	-1.5	0.99	top	left	left	gamble	good	0.99	21.87	
126	96	gain	2805.4537464000023	2805.4615015000018	2809.3591891999968	2811.375835400002	3.8976876999950036	0.6	0	1.68	bottom	left	left	gamble	good	1.68	23.55	
127	78	gain	2830.0824170999986	2830.083640099998	2834.6290721999976	2836.6451147000043	4.5454320999997435	0.4	0	1.44	top	right	right	gamble	bad	0.0	23.55	
128	148	loss	2841.1601404999965	2841.160874699999	2846.539413899998	2846.547312399998	5.378539199999068	-0.6	-2.16	0	bottom	right	left	safe	good	-0.6	22.95	
129	140	loss	2853.5881156000105	2853.588865700003	2861.5821319000097	0	0	-0.5	-2.5	0	top	right	NaN	NaN	Nan	0	22.95	
130	69	gain	2871.9087466000055	2871.909495400003	2876.1737120000034	2878.1899655000016	4.264216600000509	0.3	0	1.26	bottom	right	right	gamble	bad	0.0	22.95	
131	10	mix	2883.3359490000003	2883.3434318000072	2887.934626100003	2887.9422504000104	4.59119429999555	0	-0.5	0.2	top	left	right	safe	bad	0.0	22.95	
132	35	mix	2894.8754238999973	2894.8818736999965	2899.5278983000026	2901.5443642000027	4.646024600006058	0	-0.3	0.36	top	left	left	gamble	good	0.36	23.31	
133	25	mix	2913.037461300002	2913.044814699999	2919.483993700007	2921.501445300004	6.439179000008153	0	-1.1	0.57	top	left	left	gamble	good	0.57	23.88	
134	13	mix	2926.6587908000074	2926.6595062999986	2931.627992499998	2933.644531500002	4.968486199999461	0	-0.5	0.41	bottom	right	right	gamble	good	0.41	24.29	
135	91	gain	2938.2522283	2938.259822200009	2941.1724792000023	2943.1888688000035	2.9126569999934873	0.6	0	1.01	bottom	left	left	gamble	bad	0.0	24.29	
136	128	loss	2956.7640697000024	2956.76486570001	2962.9448613999994	2962.952631699998	6.179995699989377	-0.4	-1.44	0	top	right	left	safe	good	-0.4	23.89	
137	82	gain	2970.474674199999	2970.4830315	2974.3222179000004	2976.343621200009	3.8391864000004716	0.5	0	0.91	top	left	left	gamble	good	0.91	24.8	
138	26	mix	2981.829549000002	2981.8378347000107	2986.832385600006	2988.8485450000007	4.9945508999953745	0	-1.1	0.73	bottom	left	left	gamble	bad	-1.1	23.7	
139	28	mix	2999.8092079000053	2999.8099236999988	3005.3057862999995	3005.3141653000057	5.495862600000692	0	-1.5	0.3	top	right	left	safe	good	0.0	23.7	
140	104	loss	3012.0084215000097	3012.009130400009	3016.7490039999975	3018.764897300003	4.739873599988641	-0.2	-0.44	0	top	right	right	gamble	good	0.0	23.7	
141	136	loss	3022.9686247000063	3022.9768524999963	3028.4267838000087	3028.435103900003	5.449931300012395	-0.5	-1.4	0	top	left	right	safe	good	-0.5	23.2	
142	149	loss	3041.2865369000065	3041.287345600009	3046.1340990000026	3046.1419000000024	4.846753399993759	-0.6	-2.52	0	bottom	right	left	safe	bad	-0.6	22.6	
143	44	mix	3053.430591600001	3053.431367099998	3057.3607288000057	3059.376526100008	3.9293617000075756	0	-1.1	1.1	bottom	right	right	gamble	bad	-1.1	21.5	
144	70	gain	3064.6622361000045	3064.6694471000083	3067.7059606999974	3069.722054099999	3.036513599989121	0.3	0	1.5	top	left	left	gamble	bad	0.0	21.5	
145	63	gain	3081.1813672999997	3081.182172800007	3085.263332500006	3087.279321299997	4.081159699999262	0.3	0	0.6	bottom	right	right	gamble	good	0.6	22.1	
146	122	loss	3092.5174363999977	3092.525351999997	3098.4228658000065	3100.4391258999967	5.8975138000096194	-0.4	-0.73	0	top	left	left	gamble	bad	-0.73	21.37	
147	30	mix	3105.397980499998	3105.406597100009	3112.1650660000014	3112.1723388999962	6.758468899992295	0	-1.5	0.6	top	left	right	safe	good	0.0	21.37	
148	51	gain	3126.175597900001	3126.184267000004	3130.6225724000105	3132.6384379000083	4.438305400006357	0.2	0	0.34	bottom	left	left	gamble	bad	0.0	21.37	
149	98	gain	3138.0902747000073	3138.0909817000065	3143.048506799998	3145.064877800003	4.9575250999914715	0.6	0	2.16	bottom	right	right	gamble	bad	0.0	21.37	
150	144	loss	3149.6486981000053	3149.649420300004	3155.858684699997	3155.8664178000035	6.209264399993117	-0.6	-1.33	0	bottom	right	left	safe	good	-0.6	20.77	

Start Time: 14:09:43
End Time: 15:02:32
