Round	Trial Num	TrialType	TrialOnset	ChoiceOnset	DecisionOnset	Feedback Onset	RT	Safe Bet	Low Bet	High Bet	High Bet Pos	Gamble Pos	Choice Pos	Gamble Choice	Outcome	Profit	TotalProfit	
1	118	loss	372.2553945998661	372.2580230999738	379.28333760006353	381.2993684001267	7.025314500089735	-0.3	-1.08	0	top	right	right	gamble	good	0.0	10.0	
2	56	gain	385.56391089968383	385.5736910998821	388.8778733997606	390.8931229999289	3.3041822998784482	0.2	0	0.56	bottom	left	left	gamble	bad	0.0	10.0	
3	133	loss	396.3249073000625	396.32562319980934	400.3718183999881	402.3877030997537	4.046195200178772	-0.5	-1	0	bottom	right	right	gamble	good	0.0	10.0	
4	81	gain	414.9967171996832	415.00245609972626	422.4262695000507	424.4431972000748	7.423813400324434	0.5	0	0.84	bottom	left	left	gamble	bad	0.0	10.0	
5	132	loss	429.92732260003686	429.93354990007356	432.4542586999014	434.4708024999127	2.520708799827844	-0.5	-0.91	0	top	left	left	gamble	good	0.0	10.0	
6	45	mix	438.98550610011443	438.9940820997581	443.0993117997423	445.11530700000003	4.105229699984193	0	-1.1	1.32	top	left	left	gamble	bad	-1.1	8.9	
7	42	mix	453.97694170009345	453.97773930011317	455.47598459990695	457.4920513997786	1.4982452997937799	0	-0.8	1.2	top	right	right	gamble	bad	-0.8	8.1	
8	73	gain	462.7010298999958	462.7017453000881	464.6372307999991	464.64427849976346	1.9354854999110103	0.4	0	0.8	bottom	right	left	safe	good	0.4	8.5	
9	28	mix	471.31406020000577	471.31476920004934	479.29854589980096	0	0	0	-1.5	0.3	top	right	NaN	NaN	Nan	0	8.5	
10	54	gain	489.6408576001413	489.6416547000408	491.4236713000573	493.438909499906	1.7820166000165045	0.2	0	0.44	top	right	right	gamble	good	0.44	8.94	
11	100	gain	497.51781649980694	497.5243879999034	500.0191158996895	502.03517040004954	2.494727899786085	0.6	0	3	top	left	left	gamble	good	3.0	11.94	
12	111	loss	507.50003070011735	507.5080669000745	510.26357610011473	512.2788280998357	2.755509200040251	-0.3	-0.5	0	top	left	left	gamble	bad	-0.5	11.44	
13	98	gain	522.8237227001227	522.8245143997483	525.3722578999586	527.3887621997856	2.547743500210345	0.6	0	2.16	bottom	right	right	gamble	bad	0.0	11.44	
14	139	loss	531.9714194000699	531.9780334001407	536.250707199797	536.2590052001178	4.2726737996563315	-0.5	-2.1	0	top	left	right	safe	bad	-0.5	10.94	
15	148	loss	543.4327684999444	543.433526000008	546.4439484998584	546.4481963999569	3.0104224998503923	-0.6	-2.16	0	bottom	right	left	safe	good	-0.6	10.34	
16	128	loss	562.7858651997522	562.7866588998586	566.2835772996768	566.2916043000296	3.4969183998182416	-0.4	-1.44	0	top	right	left	safe	good	-0.4	9.94	
17	47	mix	573.8194724000059	573.8276208997704	576.7283258000389	578.744357299991	2.9007049002684653	0	-1.1	2.2	top	left	left	gamble	bad	-1.1	8.84	
18	145	loss	584.0220661000349	584.0309108998626	586.2732878997922	588.2895522001199	2.2423769999295473	-0.6	-1.49	0	top	left	left	gamble	bad	-1.49	7.35	
19	91	gain	599.0998611999676	599.1059242999181	601.0823035999201	603.0986574999988	1.9763793000020087	0.6	0	1.01	bottom	left	left	gamble	bad	0.0	7.35	
20	74	gain	608.5804674997926	608.5812353999354	610.7931486000307	612.8092009001411	2.211913200095296	0.4	0	0.89	bottom	right	right	gamble	good	0.89	8.24	
21	84	gain	617.3499529999681	617.3509021997452	618.8228187998757	620.8379000998102	1.4719166001304984	0.5	0	1.11	bottom	right	right	gamble	good	1.11	9.35	
22	3	mix	632.498946600128	632.4997942997143	636.6629733000882	638.6797416000627	4.16317900037393	0	-0.3	0.12	top	right	right	gamble	bad	-0.3	9.05	
23	117	loss	643.4949838998728	643.4956934000365	645.4415601999499	645.4487278000452	1.9458667999133468	-0.3	-0.95	0	top	right	left	safe	good	-0.3	8.75	
24	17	mix	652.0148013001308	652.0155615997501	654.2536144000478	656.2700600000098	2.238052800297737	0	-0.8	0.32	top	right	right	gamble	bad	-0.8	7.95	
25	109	loss	666.829956700094	666.8306947001256	670.2955990997143	670.3031608001329	3.464904399588704	-0.2	-0.84	0	bottom	right	left	safe	bad	-0.2	7.75	
26	40	mix	677.5420693000779	677.5428105001338	679.6739920997061	679.680982099846	2.131181599572301	0	-0.5	1	top	right	left	safe	good	0.0	7.75	
27	108	loss	687.1896580997854	687.1903647999279	689.9018426998518	689.9089668998495	2.7114778999239206	-0.2	-0.72	0	bottom	right	left	safe	bad	-0.2	7.55	
28	58	gain	701.546143699903	701.5469364998862	703.4780322997831	705.493721100036	1.931095799896866	0.2	0	0.72	bottom	right	right	gamble	good	0.72	8.27	
29	48	mix	710.7227472998202	710.7234696000814	714.2055905000307	716.2217438998632	3.482120899949223	0	-1.5	1.8	bottom	right	right	gamble	bad	-1.5	6.77	
