Round	Trial Num	TrialType	TrialOnset	ChoiceOnset	DecisionOnset	Feedback Onset	RT	Safe Bet	Low Bet	High Bet	High Bet Pos	Gamble Pos	Choice Pos	Gamble Choice	Outcome	Profit	TotalProfit	
1	46	mix	166.90625299999374	166.91955299998517	169.22688059997745	171.24375659998623	2.307327599992277	0	-1.1	1.65	bottom	left	left	gamble	good	1.65	11.65	
2	101	loss	175.808985199983	175.81754559997353	180.10477889998583	182.12160089999088	4.2872333000123035	-0.2	-0.34	0	bottom	left	left	gamble	bad	-0.34	11.31	
3	140	loss	187.64218139997683	187.6430024000001	190.39947079998092	192.4158334999811	2.756468399980804	-0.5	-2.5	0	top	right	right	gamble	bad	-2.5	8.81	
4	35	mix	204.8415727999818	204.84913869999582	207.92298509998363	209.9396952999814	3.073846399987815	0	-0.3	0.36	top	left	left	gamble	good	0.36	9.17	
5	114	loss	214.69673709999188	214.70456139999442	219.1166130999918	219.12280399998417	4.4120516999973916	-0.3	-0.67	0	top	left	right	safe	bad	-0.3	8.87	
6	87	gain	225.93672309999238	225.9464060999744	228.8621073999966	230.8792467000021	2.9157013000221923	0.5	0	1.58	bottom	left	left	gamble	bad	0.0	8.87	
7	14	mix	236.84199229997466	236.84897589997854	239.72352639999008	241.7396819999849	2.8745505000115372	0	-0.5	0.5	top	left	left	gamble	good	0.5	9.37	
8	73	gain	246.28622749997885	246.28698869998334	249.2848449999874	251.30177259998163	2.9978563000040594	0.4	0	0.8	bottom	right	right	gamble	bad	0.0	9.37	
9	3	mix	255.93905399998766	255.93976339997607	259.99589699998614	262.0121689999942	4.056133600010071	0	-0.3	0.12	top	right	right	gamble	bad	-0.3	9.07	
10	43	mix	267.84194709997973	267.8428214000014	270.3232225999818	272.3401500999753	2.480401199980406	0	-0.8	1.6	top	right	right	gamble	good	1.6	10.67	
11	99	gain	276.6288746999926	276.6296265999845	279.7853274999943	281.80179559998214	3.1557009000098333	0.6	0	2.52	bottom	right	right	gamble	good	2.52	13.19	
12	10	mix	286.35052799998084	286.3535890999774	289.4130966999801	291.4287700999994	3.0595076000026893	0	-0.5	0.2	top	left	left	gamble	good	0.2	13.39	
13	40	mix	311.035446599999	311.0362351999793	314.1499466999958	316.16626410000026	3.1137115000165068	0	-0.5	1	top	right	right	gamble	bad	-0.5	12.89	
14	47	mix	321.65327499998966	321.659521900001	323.64545969999745	325.66185179998865	1.9859377999964636	0	-1.1	2.2	top	left	left	gamble	bad	-1.1	11.79	
15	1	mix	330.9389571999782	330.9453877999913	333.17373929999303	335.18916919999174	2.228351500001736	0	-0.3	0.06	bottom	left	left	gamble	bad	-0.3	11.49	
16	39	mix	340.8690018999914	340.87492229999043	343.81810879998375	345.834182599996	2.943186499993317	0	-0.5	0.75	top	left	left	gamble	good	0.75	12.24	
17	24	mix	351.03571259998716	351.036429699976	353.41245699999854	355.4288039999956	2.3760273000225425	0	-1.1	0.44	bottom	right	right	gamble	good	0.44	12.68	
18	53	gain	360.13648109999485	360.1371942999831	363.59175299998606	363.5936149999907	3.4545587000029627	0.2	0	0.4	top	right	left	safe	good	0.2	12.88	
19	12	mix	371.4194582999917	371.42554589998326	373.3185647999926	375.33525559998816	1.8930189000093378	0	-0.5	0.33	bottom	left	left	gamble	bad	-0.5	12.38	
20	68	gain	380.36065499999677	380.3613795999845	382.03066540000145	384.047276999976	1.6692858000169508	0.3	0	1.08	top	right	right	gamble	good	1.08	13.46	
21	132	loss	388.096478499996	388.1041928999766	391.0763981999771	393.09279979998246	2.972205300000496	-0.5	-0.91	0	top	left	left	gamble	good	0.0	13.46	
22	109	loss	398.622091199999	398.6228731999872	400.3714684000006	402.38759959998424	1.7485952000133693	-0.2	-0.84	0	bottom	right	right	gamble	good	0.0	13.46	
23	71	gain	407.58974559998023	407.5956376999966	410.2989144999883	412.31593859998975	2.703276799991727	0.4	0	0.67	bottom	left	left	gamble	good	0.67	14.13	
24	28	mix	417.05584619997535	417.0566028999747	419.17803539999295	421.19424409998464	2.1214325000182725	0	-1.5	0.3	top	right	right	gamble	bad	-1.5	12.63	
25	111	loss	426.87377249999554	426.87987659999635	428.95571159999236	428.9625056999794	2.0758349999960046	-0.3	-0.5	0	top	left	right	safe	good	-0.3	12.33	
26	5	mix	436.39728579999064	436.40492849997827	440.3835591999814	440.3904070999997	3.978630700003123	0	-0.3	0.2	top	left	right	safe	good	0.0	12.33	
27	105	loss	447.88016839997726	447.88784359997953	450.47822339998675	452.4949045999965	2.590379800007213	-0.2	-0.5	0	top	left	left	gamble	bad	-0.5	11.83	
28	129	loss	458.24092869999004	458.24230739998166	460.05589489999693	462.0728156999976	1.8135875000152737	-0.4	-1.68	0	top	right	right	gamble	good	0.0	11.83	
29	38	mix	466.1795749999874	466.18031549997977	468.0355210999842	470.05166420000023	1.8552056000044104	0	-0.5	0.6	bottom	right	right	gamble	good	0.6	12.43	
30	44	mix	474.7283067999815	474.7298524999933	476.4310951999796	478.4478106999886	1.7012426999863237	0	-1.1	1.1	bottom	right	right	gamble	bad	-1.1	11.33	
31	88	gain	484.7435913999798	484.74436899999273	486.9755038000003	488.99190069999895	2.231134800007567	0.5	0	1.8	bottom	right	right	gamble	good	1.8	13.13	
32	6	mix	494.3288534999883	494.33874659999856	496.2534643999825	498.27035019997857	1.9147177999839187	0	-0.3	0.25	bottom	left	left	gamble	bad	-0.3	12.83	
33	122	loss	503.456741699978	503.46460479998495	505.16589569998905	507.1820504999778	1.7012909000040963	-0.4	-0.73	0	top	left	left	gamble	bad	-0.73	12.1	
34	115	loss	517.1603736999969	517.161099799996	519.7743715999823	521.791262099985	2.6132717999862507	-0.3	-0.74	0	top	right	right	gamble	bad	-0.74	11.36	
35	84	gain	526.7097231999796	526.7104371000023	531.8517201999784	533.8679338999791	5.141283099976135	0.5	0	1.11	bottom	right	right	gamble	good	1.11	12.47	
36	18	mix	539.144706799998	539.1456127999991	541.7293491000019	543.7462539999979	2.5837363000027835	0	-0.8	0.42	top	right	right	gamble	good	0.42	12.89	
37	82	gain	560.9704376999871	560.9777226999868	563.3850271999836	565.4011114999885	2.407304499996826	0.5	0	0.91	top	left	left	gamble	good	0.91	13.8	
38	8	mix	570.8733600999985	570.874224899977	574.9616800999793	576.9783825999766	4.087455200002296	0	-0.5	0.1	bottom	right	right	gamble	good	0.1	13.9	
39	65	gain	581.753178599989	581.7538975999923	584.3072409000015	586.3234839999932	2.5533433000091463	0.3	0	0.74	top	right	right	gamble	bad	0.0	13.9	
40	19	mix	601.6979428999766	601.6987079999817	603.5465291999863	605.5634736999928	1.847821200004546	0	-0.8	0.53	bottom	right	right	gamble	bad	-0.8	13.1	
41	22	mix	611.0202143999923	611.0289407999953	613.7250531999744	615.7413802999945	2.696112399979029	0	-1.1	0.22	top	left	left	gamble	bad	-1.1	12.0	
42	137	loss	621.0684494999878	621.0767979999946	623.4199125999876	625.4363396999834	2.3431145999929868	-0.5	-1.58	0	bottom	left	left	gamble	bad	-1.58	10.42	
43	144	loss	636.5455562999996	636.5463225999847	638.8782438999915	640.8945000999956	2.3319213000067975	-0.6	-1.33	0	bottom	right	right	gamble	bad	-1.33	9.09	
44	13	mix	646.0993947999959	646.1001027999737	648.4065705999965	650.4232405999792	2.3064678000228014	0	-0.5	0.41	bottom	right	right	gamble	good	0.41	9.5	
45	61	gain	655.0303014999954	655.0354852000019	657.934915699996	659.9512518999982	2.899430499994196	0.3	0	0.5	top	left	left	gamble	bad	0.0	9.5	
46	86	gain	672.1448493999778	672.1508881999762	674.3923175999953	676.4089970999921	2.241429400019115	0.5	0	1.4	top	left	left	gamble	bad	0.0	9.5	
47	79	gain	681.6740979999886	681.6750982999802	683.420452899998	685.4378859999997	1.7453546000178903	0.4	0	1.68	top	right	right	gamble	good	1.68	11.18	
48	135	loss	689.9856042999891	689.9947943000006	691.933538399986	693.9498518999899	1.9387440999853425	-0.5	-1.24	0	top	left	left	gamble	good	0.0	11.18	
49	116	loss	705.2931083999865	705.3007342999917	707.6252243999916	709.6412807999877	2.324490099999821	-0.3	-0.84	0	bottom	left	left	gamble	bad	-0.84	10.34	
50	108	loss	714.8578566999931	714.8590057999827	716.7537605999969	718.7700011999987	1.8947548000141978	-0.2	-0.72	0	bottom	right	right	gamble	good	0.0	10.34	
51	98	gain	723.7716304999776	723.7724672999757	725.6656558999966	727.682418899989	1.8931886000209488	0.6	0	2.16	bottom	right	right	gamble	bad	0.0	10.34	
52	51	gain	738.8751405999938	738.8826408999739	741.1403545999783	743.1569546999817	2.2577137000043876	0.2	0	0.34	bottom	left	left	gamble	bad	0.0	10.34	
53	58	gain	748.6082565999823	748.6089839999913	750.918932200002	752.9354511999991	2.3099482000106946	0.2	0	0.72	bottom	right	right	gamble	good	0.72	11.06	
54	142	loss	758.162198999984	758.1629402999824	759.9475337999756	761.9631295999861	1.784593499993207	-0.6	-1.09	0	top	right	right	gamble	bad	-1.09	9.97	
