Round	Rating	RatingOnset	RT	
1	100	4.772992599999981	54.945323100000024	
4	100	204.1787003	9.142403800000011	
7	100	243.7591951	8.975663399999974	
10	50	283.8110391	1.6375216999999793	
13	94	313.2600018	8.287033800000017	
16	100	351.3694327	7.690984299999968	
19	100	391.67964549999994	9.82489600000008	
22	100	432.59255620000005	7.291528399999947	
25	100	469.16635019999995	8.980863200000044	
28	100	508.73398849999995	7.825652200000093	
31	100	549.0891806	9.364782699999978	
34	100	587.2135049999999	7.970593000000008	
37	98	625.0696	6.99534749999998	
40	100	665.9953872000001	8.014624499999854	
43	100	703.4048346	7.5688754000000245	
46	100	741.8851341	7.818046000000095	
49	100	782.5218573	8.34322629999997	
52	100	821.1925948	8.484801099999913	
55	100	860.6572899	8.187486499999977	
58	100	901.8941765	7.807685900000024	
61	100	938.5160730999999	7.832426700000042	
64	50	977.4994824999999	3.180805800000144	
67	100	1018.690736	8.200952599999937	
70	100	1060.6524545999998	8.047682000000123	
73	70	1099.0491118999998	4.533160500000122	
76	100	1132.2695161	7.443474400000014	
79	90	1238.1187419999999	6.7378651000001355	
82	85	1273.1489139	4.8842668999998295	
85	100	1309.2978031999999	9.802980100000013	
88	66	1348.4415652999999	3.4256632000001446	
91	100	1381.3755675	7.772076399999833	
94	100	1420.3753950999999	7.667647299999999	
97	100	1459.7267883	7.895216599999912	
100	100	1502.5433773999998	8.056391500000018	
103	88	1538.8786900999999	6.168883199999982	
106	100	1579.1193231999998	7.074181200000112	
109	100	1623.4084733	7.660201499999857	
112	84	1663.4896586999998	5.4089737000001605	
115	86	1706.8921309999998	6.633688600000141	
118	88	1747.8310806	5.373399000000063	
121	88	1789.1949937	5.9034721999998965	
124	87	1823.7983178	6.265017899999975	
127	100	1861.276917	7.649633700000095	
130	94	1902.7480899999998	6.373921899999914	
133	84	1937.4047001000001	5.432668999999805	
136	100	1973.7649588000002	7.284714099999746	
139	50	2010.5978896	1.5019741999999496	
142	71	2044.3681344	5.9624905000002855	
145	79	2076.7969367	5.082884599999943	
148	50	2112.0957808000003	1.5843227000000297	
151	100	2140.9082193000004	7.736721699999634	

Start Time: 13:30:30
End Time: 14:06:20
