Round	Trial Num	TrialType	TrialOnset	ChoiceOnset	DecisionOnset	Feedback Onset	RT	Safe Bet	Low Bet	High Bet	High Bet Pos	Gamble Pos	Choice Pos	Gamble Choice	Outcome	Profit	TotalProfit	
124	82	gain	1831.0969756	1831.1046718999999	1834.7279211999999	1834.7361773999999	3.6232492999999977	0.5	0	0.91	top	left	right	safe	bad	0.5	14.94	
125	13	mix	1842.2401373999999	1842.2409326	1845.3221544	1847.3374962	3.081221800000094	0	-0.5	0.41	bottom	right	right	gamble	good	0.41	15.35	
126	88	gain	1851.9467564	1851.9500517	1853.9005210999999	1853.9081025	1.9504693999999745	0.5	0	1.8	bottom	right	left	safe	bad	0.5	15.85	
127	60	gain	1869.9598024	1869.9648253	1872.5738391999998	1874.5906893	2.609013899999809	0.2	0	1	top	left	left	gamble	good	1.0	16.85	
128	94	gain	1879.6478373	1879.6485645	1882.80227	1882.8100262	3.1537054999998873	0.6	0	1.33	bottom	right	left	safe	good	0.6	17.45	
129	105	loss	1890.2052317999999	1890.2127247	1895.9620653999998	1895.9705456999998	5.7493406999997205	-0.2	-0.5	0	top	left	right	safe	good	-0.2	17.25	
130	5	mix	1910.1541614999999	1910.1617436999998	1911.7202501	1911.7272801000001	1.5585064000001694	0	-0.3	0.2	top	left	right	safe	good	0.0	17.25	
131	61	gain	1919.2225691	1919.2314442	1920.9485963	1920.9555714	1.7171521000000212	0.3	0	0.5	top	left	right	safe	good	0.3	17.55	
132	18	mix	1927.9292195	1927.9299776999999	1929.8600765999997	1929.8670356	1.930098899999848	0	-0.8	0.42	top	right	left	safe	bad	0.0	17.55	
133	103	loss	1943.8704440999998	1943.8711765	1946.2678564	1948.2844916000001	2.396679899999981	-0.2	-0.4	0	top	right	right	gamble	bad	-0.4	17.15	
134	102	loss	1953.3239225	1953.3246852	1958.9114883999998	1960.9282572	5.586803199999849	-0.2	-0.36	0	top	right	right	gamble	good	0.0	17.15	
135	4	mix	1964.9827555	1964.9836045999998	1967.2241382999998	1967.2311549999997	2.2405337000000145	0	-0.3	0.16	top	right	left	safe	bad	0.0	17.15	
136	30	mix	1982.0827956	1982.0907089	1983.5988098	1983.6062448999999	1.508100900000045	0	-1.5	0.6	top	left	right	safe	good	0.0	17.15	
137	139	loss	1991.1287439999999	1991.1370098999998	1993.5602198999998	1993.5677582	2.4232099999999264	-0.5	-2.1	0	top	left	right	safe	bad	-0.5	16.65	
138	113	loss	2000.7463179999997	2000.7470403	2004.0545432000001	2006.0708398999998	3.307502900000145	-0.3	-0.6	0	bottom	right	right	gamble	good	0.0	16.65	
139	126	loss	2013.1325774	2013.1413366999998	2016.3141116	2018.3311118999998	3.1727749000001495	-0.4	-1.12	0	bottom	left	left	gamble	bad	-1.12	15.53	
140	81	gain	2023.6177596999999	2023.6257205999998	2026.7591956999997	2026.7660540999998	3.1334750999999414	0.5	0	0.84	bottom	left	right	safe	good	0.5	16.03	
141	76	gain	2034.2997254	2034.3064947999999	2037.4031219	2037.4114029	3.0966271000002052	0.4	0	1.12	bottom	left	right	safe	good	0.4	16.43	
142	23	mix	2051.3626605	2051.3634567000004	2053.5451289000002	2053.5520205000003	2.1816721999998663	0	-1.1	0.33	bottom	right	left	safe	good	0.0	16.43	
