Round	Rating	RatingOnset	RT	
1	45	86.47293309998349	14.69006769999396	
4	64	197.18613039999036	6.622324600000866	
7	50	235.8319830999826	0.00013240001862868667	
10	50	266.8290625999798	0.0002707999956328422	
13	77	296.3361302999838	13.66639669999131	
16	50	339.8598204999871	0.0001289999927394092	
19	50	370.4037708999822	0.00013130001025274396	
22	50	397.60507299998426	0.0001247999898623675	
25	50	425.8608176999842	0.00014260000898502767	
28	50	457.233488799975	0.00012740000966005027	
31	50	483.7339333999844	0.0001252999936696142	
34	50	512.1395821999758	3.987562900001649	
37	91	548.7143900999799	11.222838999994565	
40	95	591.4648447999789	9.200700500019593	
43	63	630.2347002000024	5.278396599984262	
46	77	664.8830939999898	6.228575699991779	
49	66	699.3415676000004	4.919119699974544	
52	66	732.2652916999941	5.578126499982318	
55	81	767.4179874999973	6.789068899990525	
58	92	804.1973275999771	10.121681000018725	
61	77	841.9026742999849	6.015178600006038	
64	87	876.8340481999912	9.479375099996105	
67	75	916.6828608999786	6.2945493000152055	
70	75	952.4176717999799	6.058183100016322	
73	83	987.9721339999815	6.867911600013031	
76	50	1028.9575587	0.0001323999895248562	
79	85	1065.5851463	13.676957799994852	
82	70	1108.1410305999743	5.601835300010862	
85	78	1142.285178399994	7.556206899986137	
88	88	1178.0740189999924	7.748029799986398	
91	78	1215.4186649999756	135.58264300000155	
94	67	1381.9093899999862	4.8561235000088345	
97	74	1418.4257331999834	5.986768800008576	
100	74	1457.3998153999855	5.1589399999938905	
103	73	1491.9468585999857	6.425547999999253	
106	66	1527.0190255999914	4.219370100006927	
109	77	1559.4731774999818	7.729542899993248	
112	65	1594.5270097999892	129.9423461999977	
115	55	1753.6237962000014	2.762558299989905	
118	84	1784.957241600001	5.594338899973081	
121	78	1825.100914199982	5.596018100011861	
124	81	1858.823558199976	5.255717200023355	
127	64	1895.4114459999837	3.2827189000090584	
130	70	1927.1142235999869	3.8451925000117626	
133	79	1960.2679811999842	4.791921600000933	
136	81	1993.0218278999964	4.6363074999826495	
139	83	2028.5512387999916	5.271380099991802	
142	87	2062.7621808999975	6.891467099980218	
145	78	2097.0568185999873	4.481391800014535	
148	83	2130.962458299997	6.758248700003605	
151	78	2167.221201099979	4.644930500013288	

Start Time: 10:48:20
End Time: 11:24:33
