Round	Trial Num	TrialType	TrialOnset	ChoiceOnset	DecisionOnset	Feedback Onset	RT	Safe Bet	Low Bet	High Bet	High Bet Pos	Gamble Pos	Choice Pos	Gamble Choice	Outcome	Profit	TotalProfit	
1	14	mix	430.764912399929	430.77369610010646	433.8701051999815	435.88592660008	3.096409099875018	0	-0.5	0.5	top	left	left	gamble	good	0.5	10.5	
2	108	loss	440.4351208000444	440.43589289998636	443.3155608000234	443.3227542000823	2.8796679000370204	-0.2	-0.72	0	bottom	right	left	safe	bad	-0.2	10.3	
3	138	loss	450.36490830010734	450.36562760011293	453.9432844000403	453.9504050000105	3.577656799927354	-0.5	-1.8	0	bottom	right	left	safe	bad	-0.5	9.8	
4	84	gain	470.08389730006456	470.08469419996254	472.9500464000739	474.96633470011875	2.8653522001113743	0.5	0	1.11	bottom	right	right	gamble	good	1.11	10.91	
5	77	gain	480.2413536000531	480.242106199963	483.9601976000704	483.9684284001123	3.718091400107369	0.4	0	1.26	top	right	left	safe	bad	0.4	11.31	
6	13	mix	490.59625849989243	490.5969785999041	494.38869159994647	496.4038416999392	3.791713000042364	0	-0.5	0.41	bottom	right	right	gamble	good	0.41	11.72	
7	120	loss	505.4835546000395	505.4916674999986	510.8298575999215	510.8375558000989	5.33819009992294	-0.3	-1.5	0	top	left	right	safe	good	-0.3	11.42	
8	78	gain	517.7541638999246	517.754896499915	522.0234491999727	522.0311819000635	4.268552700057626	0.4	0	1.44	top	right	left	safe	good	0.4	11.82	
9	86	gain	528.5751952000428	528.5824160000775	531.0857359999791	533.1022443000693	2.503319999901578	0.5	0	1.4	top	left	left	gamble	bad	0.0	11.82	
10	7	mix	544.3462123000063	544.3536455000285	547.3267870000564	549.3424533999059	2.9731415000278503	0	-0.3	0.3	top	left	left	gamble	good	0.3	12.12	
11	6	mix	554.5184323999565	554.5252976000775	558.2380067000631	560.2545598000288	3.712709099985659	0	-0.3	0.25	bottom	left	left	gamble	bad	-0.3	11.82	
12	51	gain	565.4399133000989	565.4476938999724	569.1155552000273	569.1228020000271	3.6678613000549376	0.2	0	0.34	bottom	left	right	safe	good	0.2	12.02	
13	16	mix	582.5082674000878	582.5157687999308	586.5398746000137	586.5475598999765	4.024105800082907	0	-0.8	0.24	bottom	left	right	safe	good	0.0	12.02	
14	46	mix	593.6013495998923	593.6092360001057	596.7673897999339	598.7840684000403	3.158153799828142	0	-1.1	1.65	bottom	left	left	gamble	good	1.65	13.67	
15	29	mix	603.3422538999002	603.3429809999652	607.9447075000498	607.9526011000853	4.601726500084624	0	-1.5	0.45	top	right	left	safe	bad	0.0	13.67	
16	61	gain	619.3889238000847	619.3962077000178	622.8706916000228	622.8784433999099	3.474483900004998	0.3	0	0.5	top	left	right	safe	good	0.3	13.97	
17	101	loss	629.8529008000623	629.8592258999124	633.5310541999061	633.5383880001027	3.671828299993649	-0.2	-0.34	0	bottom	left	right	safe	good	-0.2	13.77	
18	132	loss	641.093624799978	641.1018829001114	643.6428851000965	643.6499689999036	2.541002199985087	-0.5	-0.91	0	top	left	right	safe	bad	-0.5	13.27	
19	68	gain	653.2705035998952	653.271325699985	656.1191867000889	656.1269928000402	2.847861000103876	0.3	0	1.08	top	right	left	safe	bad	0.3	13.57	
20	148	loss	662.7204082999378	662.7212435998954	666.3309001000598	666.3379891000222	3.6096565001644194	-0.6	-2.16	0	bottom	right	left	safe	good	-0.6	12.97	
21	70	gain	673.3754777999129	673.3840618000831	676.2755517000332	678.2918483999092	2.891489899950102	0.3	0	1.5	top	left	left	gamble	bad	0.0	12.97	
22	103	loss	685.6381363999099	685.6388644000981	688.968387400033	688.9760871001054	3.329522999934852	-0.2	-0.4	0	top	right	left	safe	good	-0.2	12.77	
23	80	gain	696.0523260999471	696.0573289999738	699.3134508999065	701.3292245001066	3.256121899932623	0.4	0	2	top	left	left	gamble	bad	0.0	12.77	
24	23	mix	706.504404499894	706.5051599000581	709.9910915000364	709.9958637999371	3.4859315999783576	0	-1.1	0.33	bottom	right	left	safe	good	0.0	12.77	
25	64	gain	721.3692524000071	721.3752311998978	724.0836577999871	726.0989429999609	2.7084266000892967	0.3	0	0.67	top	left	left	gamble	good	0.67	13.44	
26	85	gain	730.710499299923	730.7172580000479	733.345412600087	733.3525592999067	2.6281546000391245	0.5	0	1.24	top	left	right	safe	bad	0.5	13.94	
27	96	gain	740.0887941999827	740.0965420999564	743.340305400081	743.3492107999045	3.243763300124556	0.6	0	1.68	bottom	left	right	safe	bad	0.6	14.54	
28	9	mix	757.0336625000928	757.0344088999555	761.3659836999141	761.3740264000371	4.3315747999586165	0	-0.5	0.15	bottom	right	left	safe	bad	0.0	14.54	
29	93	gain	767.8968472001143	767.8975871000439	770.7917210999876	770.7987273000181	2.894133999943733	0.6	0	1.2	top	right	left	safe	bad	0.6	15.14	
30	26	mix	778.2152613999788	778.2244216001127	782.8047714000568	782.8131693999749	4.580349799944088	0	-1.1	0.73	bottom	left	right	safe	good	0.0	15.14	
