Round	Trial Num	TrialType	TrialOnset	ChoiceOnset	DecisionOnset	Feedback Onset	RT	Safe Bet	Low Bet	High Bet	High Bet Pos	Gamble Pos	Choice Pos	Gamble Choice	Outcome	Profit	TotalProfit	
1	87	gain	1151.5795484999835	1151.593096800003	1156.5892239999957	1158.6056755000027	4.99612719999277	0.5	0	1.58	bottom	left	left	gamble	bad	0.0	10.0	
2	27	mix	1163.560106799996	1163.5608319999883	1168.3820874999801	1170.3988057999813	4.821255499991821	0	-1.1	0.9	top	right	right	gamble	good	0.9	10.9	
3	98	gain	1175.2192698	1175.2200682999974	1178.7772983000032	1180.7927175999794	3.557230000005802	0.6	0	2.16	bottom	right	right	gamble	bad	0.0	10.9	
4	52	gain	1189.1056797999772	1189.10654779998	1190.788001799985	1192.8035342999792	1.6814540000050329	0.2	0	0.36	top	right	right	gamble	good	0.36	11.26	
5	122	loss	1197.1129126999876	1197.1197594999976	1201.1990371999855	1201.2046574999986	4.07927769998787	-0.4	-0.73	0	top	left	right	safe	good	-0.4	10.86	
6	37	mix	1208.176303699991	1208.184350800002	1212.1429278999858	1214.1594278999837	3.9585770999838132	0	-0.3	0.6	bottom	left	left	gamble	bad	-0.3	10.56	
7	94	gain	1221.6720107999863	1221.672757799999	1224.169064799993	1226.186166999978	2.496306999993976	0.6	0	1.33	bottom	right	right	gamble	bad	0.0	10.56	
8	112	loss	1231.5318076999974	1231.5391623999749	1236.5338705999893	1236.5422466000018	4.994708200014429	-0.3	-0.55	0	bottom	left	right	safe	good	-0.3	10.26	
9	106	loss	1243.8863414999796	1243.892969299981	1246.8422979000024	1246.8498446999874	2.949328600021545	-0.2	-0.56	0	bottom	left	right	safe	good	-0.2	10.06	
10	3	mix	1257.2353751999908	1257.2361028000014	1259.9509355999762	1261.967115699983	2.714832799974829	0	-0.3	0.12	top	right	right	gamble	bad	-0.3	9.76	
11	101	loss	1266.7862055999867	1266.7900047999865	1270.4953433999908	1270.5029777000018	3.7053386000043247	-0.2	-0.34	0	bottom	left	right	safe	good	-0.2	9.56	
12	65	gain	1278.046903199982	1278.0476091000019	1281.4062724999967	1283.422560899984	3.358663399994839	0.3	0	0.74	top	right	right	gamble	bad	0.0	9.56	
13	97	gain	1292.3338750999828	1292.339719999989	1297.0821029999934	1299.0976014999906	4.742383000004338	0.6	0	1.9	top	left	left	gamble	bad	0.0	9.56	
14	64	gain	1304.1191844999848	1304.1254723999882	1307.227478899993	1309.242185399984	3.1020065000047907	0.3	0	0.67	top	left	left	gamble	good	0.67	10.23	
15	128	loss	1313.8541835999931	1313.8549004999804	1318.0036721999932	1318.0114162999962	4.14877170001273	-0.4	-1.44	0	top	right	left	safe	good	-0.4	9.83	
16	69	gain	1329.0315424999862	1329.0322900000028	1331.1810856999946	1333.195890699979	2.1487956999917515	0.3	0	1.26	bottom	right	right	gamble	bad	0.0	9.83	
17	107	loss	1338.3420019999903	1338.3498055999808	1342.3407948999957	1342.3478024999786	3.990989300014917	-0.2	-0.63	0	top	left	right	safe	bad	-0.2	9.63	
18	5	mix	1349.6147817999881	1349.6215062999981	1351.9848965999845	1351.9895421999972	2.3633902999863494	0	-0.3	0.2	top	left	right	safe	good	0.0	9.63	
19	119	loss	1363.030414799985	1363.0311530999898	1368.4095478999952	1368.4147358999762	5.378394800005481	-0.3	-1.26	0	bottom	right	left	safe	good	-0.3	9.33	
20	147	loss	1375.6271063000022	1375.6350823999965	1378.0549952999863	1378.06205399998	2.4199128999898676	-0.6	-1.9	0	top	left	right	safe	good	-0.6	8.73	
21	42	mix	1385.010187399981	1385.0108979999786	1389.382632599998	1391.3987245999742	4.371734600019408	0	-0.8	1.2	top	right	right	gamble	bad	-0.8	7.93	
22	132	loss	1399.1438737999997	1399.150619699998	1402.4758653999888	1402.4848841999774	3.3252456999907736	-0.5	-0.91	0	top	left	right	safe	bad	-0.5	7.43	
23	56	gain	1409.0343973999843	1409.0404163999774	1413.070140099997	1413.0779929999844	4.029723700019531	0.2	0	0.56	bottom	left	right	safe	good	0.2	7.63	
24	131	loss	1420.5452131999773	1420.5526847	1424.2477873000025	1424.2563806999824	3.6951026000024285	-0.5	-0.84	0	bottom	left	right	safe	good	-0.5	7.13	
25	9	mix	1433.7247419999912	1433.725497699983	1438.8078491999768	1440.822525800002	5.08235149999382	0	-0.5	0.15	bottom	right	right	gamble	good	0.15	7.28	
